	Heart	Liver	Ovary	Testis	lung	Adrenal	Gallbladder	Pancreas	Kidney	esophagus	colon	Rectum	urinary_bladder	prostate	placenta
LARS2	9.99	10.09	18.38	28.7	2.8	33.53	5.45	19.39	10.3	0	10.32	10.28	7.2	10.26	3.07
GTF2F1	0	5.89	16.09	46.91	0	33.55	9.54	38.8	0	0	0	0	0	7.18	0
WDR12	0	7.19	43.21	57.27	0	15.36	11.65	41.45	0	0	11.03	10.98	3.85	8.77	0
RAP2A	0	8.32	0	9.47	13.83	11.85	40.43	54.81	10.19	16.73	0	12.71	44.5	0	182.01
ABCA5	0.91	0	0	1.05	0	0	1.49	0	0	0	0	0	0	0	0
BMP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRI3BP	12.2	24.65	20.2	28.04	51.21	35.1	29.94	60.89	7.54	24.78	28.36	28.24	13.18	22.54	89.86
GGT7	0	4.87	2.66	11.08	0	3.47	0	20.04	0	0	0	0	0	5.94	0
NCKAP1L	0	4.02	1.46	1.52	17.8	3.81	4.34	8.82	1.64	0	6.16	10.22	5.73	8.16	2.44
DIRAS1	7.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEC62	7.41	33.66	69.46	55.32	43.51	74.56	6.06	86.23	13.74	0	45.9	28.56	24.01	36.49	34.09
RTN4	26.14	0	152.87	163.71	228.18	293.27	124	160.88	140.6	138.03	206.58	137.11	288.09	189.95	86.63
HAPLN1	4.23	0	9.33	0	0	0	0	0	0	0	45.86	52.18	4.57	26.04	108.99
YKT6	15.15	38.26	334.35	330.79	89.01	152.54	74.35	176.41	65.57	199.99	129.12	163.61	106.4	111.96	139.48
LMOD3	2.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEX10	0	1.62	30.14	25.85	2.7	6.93	0	2.67	0	0	0	0	0	0	2.96
C2orf49	6.57	0	21.74	52.83	0	0	0	10.92	0	0	0	0	0	0	0
TBC1D22A	0	2.9	0	9.9	0	0	4.7	4.78	3.55	5.83	0	0	0	0	0
PCMT1	620.5	257.61	532.43	704.99	254.57	267.7	191.69	481.57	306.84	181.99	469.99	701.87	387.29	738.63	266.53
EMC10	0	12.54	6.85	21.41	0	8.93	0	0	0	0	0	0	0	0	22.87
BARHL2	4.05	0	0	4.65	0	0	0	0	0	0	0	0	0	0	0
STK10	3.03	9.18	36.76	90.49	5.08	6.53	24.77	27.71	0	0	9.39	11.68	11.45	13.06	16.73
SPATS2	0	2.88	0	19.66	0	4.1	0	4.74	3.53	0	4.42	0	0	0	0
PRSS2	0	0	0	0	0	0	62.93	3231.29	0	0	0	9.89	0	0	0
OTUD4	0	2.77	6.05	23.62	0	0	0	6.84	0	0	0	2.11	0	1.69	7.57
IFI35	0	32.62	0	0	18.07	15.49	17.61	8.95	6.66	0	91.76	16.61	34.9	59.67	9.91
EIF2S3L	0	6.7	10.97	7.62	0	0	0	259.16	4.1	0	0	5.11	100.29	0	122.07
IQSEC1	0	3.17	10.38	0	0	4.51	10.26	7.82	0	0	0	0	0	5.79	0
PPP1CB	118.75	69.19	221.71	251.89	76.66	52.55	216.64	60.77	146.81	278.23	247.68	218.4	236.84	191.24	142.94
C16orf62	3.1	21.92	37.63	33.84	13.01	37.9	0	30.94	13.42	0	28.82	11.96	15.07	22.91	5.71
XPO1	46.8	75.07	306.77	264.13	78.55	87.11	33.77	146.52	11.91	44.72	104.5	106.17	58	123.75	70.96
NINL	0	0	0	0	1.82	0	1.78	0	0	0	0	0	0	0	0
MED7	0	0	0	7.16	0	0	0	0	0	0	0	0	0	0	0
CALHM2	0	0	25.9	21.58	0	0	0	0	0	0	0	0	5.07	5.78	0
HOXB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APCS	909.91	641.87	1262.17	1406.7	2200.89	1096.86	1520.99	1023.67	562.45	1249.82	601.21	412.79	650.49	947.47	147.8
KRT82	3	6.06	0	0	0	0	0	0	0	0	0	0	0	0	0
EPX	0	4.23	0	0	45.73	0	0	0	0	0	233.8	148.71	0	7.74	0
PRKG1	22.24	4.49	76.07	46	63.46	22.39	90.94	88.78	11	27.1	120.61	68.62	108.13	131.47	28.66
IRF2	0	4.36	0	0	0	0	0	0	0	0	0	0	0	0	0
SOD1	1566.78	2572.47	552.65	942.92	1556.3	1931.29	1115.64	850.83	3689.45	1752.98	1056.84	1117.92	909.61	1063.13	902.56
TBC1D8B	15.84	4	2.91	12.13	0	28.47	2.16	10.97	0	8.04	0	0	0	0	0
NDUFS6	854.71	87.56	95.66	156.55	124.74	89.07	283.63	329.61	199.08	125.76	153.53	420.34	93.67	183.05	45.61
IKBKAP	0	13.7	59.86	61.04	0	40.64	9.24	31.96	2.8	4.59	12.26	10.46	6.11	23.66	4.16
PANX2	0	0	2.52	2.62	0	9.84	0	0	0	0	0	3.52	0	0	0
YTHDC1	0	2.03	30.97	46.08	0	0	0	10.01	0	0	0	0	0	2.47	0
FLVCR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THBS1	40.7	41.1	39.1	37.71	202.71	94.4	300.59	613.5	107.11	26.66	48.81	58.72	55.31	130.94	55.58
SACM1L	43.12	115.26	123.12	192.33	131.96	244.38	74.67	105.45	59.58	25.75	98.24	89.98	79.46	93.7	84.04
LAMTOR5	70.67	35.68	0	0	177.91	50.81	173.37	29.38	87.37	71.75	27.37	27.25	0	43.51	227.66
FDX1L	8.7	0	0	0	0	12.51	0	0	0	0	0	0	0	0	0
NLE1	0	3.22	28.11	29.28	0	4.58	5.21	26.49	0	0	0	9.83	3.44	15.69	0
DPF3	0	0	4.35	0	0	0	0	0	0	0	0	0	0	0	0
SMAD2	6.49	6.56	39.41	41.04	0	32.69	21.24	16.2	0	0	25.16	15.03	24.56	16	5.98
ARHGDIB	155.16	156.69	163.03	186.76	533.24	0	628.38	479.23	264.9	270.05	354.87	615.43	351.2	336.65	421.66
GPX1	176.86	396.05	509.01	477.09	322.65	873.63	326.99	358.08	760.53	515.26	357.41	616.78	398.74	482.94	438.84
FUBP3	8.27	122.44	82.08	155.13	55.5	47.55	13.52	114.57	6.81	11.19	64.04	46.75	65.49	95.01	35.51
NME3	116.12	0	157.67	205.26	224.88	179.84	160.7	222.83	187.73	90.69	235.27	151.56	144.74	165	164.44
RPL29	105.25	164.26	126.67	164.89	64.23	55.04	0	190.95	35.49	116.57	74.12	73.79	31.01	70.69	281.82
NDRG3	4.1	4.14	108.6	65.98	0	47.19	6.71	27.29	0	8.33	6.35	18.98	13.29	35.36	7.55
TRHDE	1.45	0	1.6	0	0	0	2.37	0	0	0	0	0	0	0	0
CHRNA3	2.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBS9	0	1.73	1.89	11.79	0	0	2.8	0	0	0	0	0	0	2.11	0
RASA1	2.92	4.42	40.24	31.85	2.45	14.69	0	7.28	0	0	13.56	0	4.73	8.98	333.09
TPM2	837.6	161.86	285.2	439.59	780.99	1457.35	4820.02	300.96	524.14	2320.15	1241.62	2280.87	2379.41	1738.18	256.99
GTPBP4	0	18.55	55.74	39.58	0	36.33	7.51	80.2	8.52	0	7.12	14.17	4.96	8.48	4.23
NOP2	0	32.65	31.47	43.7	3.19	5.47	6.22	34.79	0	0	8.84	8.8	2.05	14.05	3.5
TYMS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB4	0	0	0.93	2.9	12.69	0	8.24	50.3	1.04	29	53.37	49.24	19.97	48.63	100.53
DIS3	0	12.59	75.64	53.71	2.62	2.24	5.1	25.91	1.93	0	9.66	16.82	1.68	19.19	2.87
EP400	0	0	2.18	7.39	0	0	0	2.47	0	0	0	0	0	0.61	0
ASCC2	0	3.97	6.51	15.82	0	5.66	0	13.08	0	3.99	0	0	4.25	4.84	18.1
HS2ST1	0	4.1	8.95	9.32	0	23.33	0	13.49	0	0	6.28	0	0	0	7.47
ANP32B	29.5	107.25	201.78	115.24	128.73	67.88	38.6	186.43	43.76	0	100.55	91.01	89.23	36.33	271.54
INPP1	3.86	31.19	29.81	26.61	12.96	33.31	12.63	25.68	9.55	62.71	29.9	11.91	20.85	28.52	7.11
EIF5B	6.12	35.83	109.33	108.24	4.11	56.3	14.01	122.08	4.54	12.42	41.7	9.44	21.15	34.65	15.77
DMXL1	0	1.02	2.22	5.78	0	1.45	1.64	2.51	1.24	0	0.78	0	0	5.57	0.93
DMXL2	0	0.51	2.21	6.32	0	2.16	0	4.99	0	0	0.77	0	0.54	1.23	0.92
PPP2R2D	0	3.3	21.6	30	0	9.39	0	5.43	0	0	0	0	7.05	4.02	0
C17orf59	4.56	9.22	0	5.24	0	6.56	14.92	53.12	0	0	14.14	14.08	14.79	22.47	8.4
SGCE	13.63	3.44	48.87	66.55	11.44	4.9	44.58	22.67	0	6.92	105.58	68.32	47.85	41.96	0
KRAS	0	15.84	69.22	81.1	39.49	11.28	12.83	104.35	29.09	0	60.76	72.59	67.78	48.29	144.38
PPBP	36.67	49.38	13.49	14.05	102.59	0	59.98	20.33	60.45	24.82	0	0	13.21	30.11	90.02
HSBP1	19.88	0	0	0	66.73	0	0	66.12	49.15	40.37	0	0	0	0	0
RIN3	0	0	0	1.81	0	2.26	5.15	2.62	0	0	0	0	1.7	0	0
MICALL1	0	0	0	20.88	0	0	11.89	6.05	0	0	14.08	5.61	19.64	22.38	23.42
EGFLAM	1.53	0	25.26	0	2.56	0	0	0	0	0	0	0	0	18.8	8.43
SLC1A5	3	9.09	29.8	13.79	55.4	4.32	9.82	4.99	14.84	60.94	9.3	0	16.21	22.17	55.25
TPI1	3557.99	2846.62	2622.93	2047.11	1796.11	3331.83	1497.64	2293.5	4371.36	3360.23	2572.46	2067.59	2645.86	2166.94	2091.91
TFPI	0	0	5.35	0	0	0	7.93	8.07	0	0	0	0	0	0	17.86
LMAN1	109.2	414.29	312.58	339.1	272.45	186.75	101.37	417.22	120.41	59.93	123.46	204.86	124.35	196.26	472.69
KNG1	158.15	102.5	221.35	225.1	297.13	186.7	563.64	129.55	323.92	282.78	332.79	233.02	362.1	241.26	82.56
DDX25	0	0	3.43	53.52	0	0	0	0	0	0	0	0	0	0	0
DBR1	0	0	15.22	3.17	4.63	0	0	13.77	0	0	0	0	0	10.19	0
ANO2	2.98	6.02	0	1.71	0	0	0	2.48	0	0	0	0	1.61	0	0
ABCA13	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT85	0	79.92	0	0	5.11	0	0	0	33.87	0	9.43	0	3.29	0	11.21
LEMD3	0	5.15	69.33	68.3	2.85	2.44	11.11	48.02	2.1	0	5.26	7.86	14.68	14.64	3.13
TRPC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDHA	1677.67	1007.56	381.51	402.69	203.93	0	305.72	404.14	823.27	175.54	456.13	551.43	353.39	227.31	107.54
SLC25A20	407.3	827.85	62.57	71.08	129.8	229.85	8.43	60.02	235.83	52.34	103.84	39.76	50.13	38.09	56.95
MT-ATP6	362.74	235	128.36	141.54	103.38	137.8	44.77	136.59	135.38	55.59	116.64	105.57	88.72	126.42	50.4
PPP1R3G	8.94	0	0	0	0	0	0	0	0	0	6.92	0	14.48	5.5	0
MPL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	14721.88	1085.84	7429.55	4709.27	4511.6	2726.37	14769.31	188.23	2243.8	13157.08	20948.69	19459.45	3314.39	26153.15	230.68
XAGE1A	0	0	0	42.99	0	0	0	0	0	0	0	28.86	20.21	0	0
TFDP1	0	0	0	8.66	0	0	6.16	0	0	0	0	0	0	0	0
NAALADL1	2.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPA3	115.82	337.9	965.43	832.93	719.97	524.37	540.22	784.76	450.78	139.36	657.96	787.39	305.85	517.68	829.18
CNNM1	0	0	0	0	0	0	0	0	0	3.31	0	0	0	0	0
ECI1	854.02	695.18	165.59	178.4	208.49	223.3	135.44	206.59	524.7	262.74	232.55	247.49	178.93	165.72	209.62
SHPK	3.3	76.62	105.54	147.81	22.15	14.23	59.35	87.78	73.4	0	46	25.44	24.94	52.81	36.44
RBM15B	0	0	5.78	2.01	0	0	2.86	5.81	0	0	0	0	0	2.15	0
ITGB2	0	18.21	13.26	16.11	97.51	5.76	85.19	39.98	0	0	52.77	49.44	15.15	32.07	11.06
PES1	0	20.18	38.58	48.78	8.38	10.78	16.34	37.38	0	0	11.61	11.56	0	9.23	4.6
FOXD1	3.68	0	4.06	0	0	0	6.02	0	0	0	0	0	0	0	0
COL4A1	104.69	42.72	25.67	32.8	417.1	152.08	544.81	214.56	469.34	68.71	150.73	275.67	235.34	239.61	112.91
RPS17	174.77	761.12	819.43	665.13	311.65	204.21	357.29	908.28	243.07	44.36	490.77	572.84	413	349.72	1105.94
RUFY3	6.41	12.95	31.84	66.32	5.38	46.12	20.98	21.33	3.96	0	4.97	24.73	0	27.64	0
SOX17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASGRF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK2B	133.21	14.16	23.2	32.22	23.53	0	15.29	11.66	5.78	14.24	65.17	46.86	50.49	40.29	0
HYPK	11.58	0	63.89	0	0	16.66	0	57.79	0	0	17.94	53.59	0	0	0
C2orf44	6.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C18orf63	2.2	0	0	10.11	0	0	0	0	0	0	0	0	0	0	0
CIB1	0	0	0	8.99	91.95	0	0	143.17	19.35	0	60.63	36.21	33.82	96.37	72.04
TRPC6	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUL5	9.34	20.74	84.47	98.69	18.81	37.6	18.33	55.9	9.23	15.17	57.86	28.8	48.42	59.79	13.75
LACTB2	62.13	298.03	188.49	356.91	69.52	193.59	76.21	60.27	358.44	10.51	96.26	71.87	72.71	38.25	19.06
LEPREL2	0	2.1	9.16	4.77	6.97	0	0	0	0	0	3.22	6.4	11.21	0	15.28
RHOT1	59.99	29.08	79.42	63.41	16.11	75.92	7.85	39.91	32.63	4.87	52.05	7.4	49.25	32.5	8.83
101060047	6.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM135B	2.18	0	0	0	0	0	1.78	0	0	0	0	0	1.18	1.34	2.01
PRKD1	1.67	0	23.95	34.54	0	2.4	0	13.89	0	0	0	0	9.02	20.57	0
KMT2C	0.31	0	0	0.72	0	0.45	0	0	0	0.64	0	0.97	0.68	1.55	0
C1orf196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFKL	73.92	302.63	456.24	463.66	150.89	132.16	186.25	309	479.15	166.32	272.38	237.28	312.94	238.64	169.18
RPL10	455.62	376.46	418.88	483.82	370.76	287.91	282.27	746.26	264.57	98.12	278.08	457.87	126.78	289.04	521.05
MED28	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
GOLPH3	0	65.95	60.96	75.03	50.59	43.35	49.3	58.48	6.21	0	101.18	54.24	10.85	74.23	36.99
FGD6	1.06	0	0	0	0	0	0	0	0	0	1.64	0	0	0	1.94
STAG3	12.22	18.51	60.65	42.11	28.71	14.05	35.96	42.67	3.02	4.96	35.96	24.5	22.44	31.59	24.74
COX11	27.02	0	5.96	0	0	0	0	0	0	0	0	0	0	0	0
RRP1B	0	8.13	22.19	41.61	0	0	6.58	23.42	0	0	3.12	0	0	2.48	0
POF1B	2.5	0	0	0	4.19	0	0	87.15	0	40.54	181.71	200.15	51.22	27.66	0
PRPS1	34.13	118.18	199.04	162.46	65.47	70.12	71.77	202.73	72.34	29.7	75.54	30.08	110.62	60.04	125.67
SERPINB6	338.73	277.68	879.28	544.85	815.98	596.01	410.61	874.83	492.66	364.12	635.93	381.1	551.04	554.53	344.8
RGS10	0	0	9.26	19.29	28.17	12.07	13.73	27.92	0	0	117.04	77.68	72.54	103.36	46.35
YWHAH	252.8	243.14	285.54	352.69	444.49	424.14	659.56	650.66	319.97	427.76	456.94	427.07	260.09	326.13	476.46
CFL2	661.75	347.87	310.02	281.21	228.22	273.76	578.21	105.53	156.9	128.85	969.07	866.91	920.53	814.9	133.5
PHF20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLGLA	15.56	0	34.34	53.64	0	335.68	152.7	25.88	0	31.6	48.22	24	16.81	38.33	28.65
MPG	0	5.22	62.71	65.31	17.35	7.43	16.9	8.59	0	0	8.01	7.97	11.16	12.73	0
FH	1333.64	888.45	288.09	317.88	130.44	496.24	172.87	299.86	672.56	252.49	332.33	321.27	221.65	199.07	297.59
SEPT8	6.09	21.53	87.38	94.5	46.02	26.29	39.86	75.99	15.06	24.74	70.8	84.58	69.11	82.53	56.08
GALC	0	0	17.03	27.87	0	25.37	7.21	11	2.73	0	13.66	17	7.15	10.86	0
RPL32	74.97	692.16	543.49	258.39	179.74	231.02	175.15	516.51	145.64	86.98	199.11	313.86	196.68	118.69	394.3
MPZL1	5.84	0	83.76	80.52	9.8	0	9.55	29.14	0	0	9.05	18.02	12.62	21.58	0
ZC3H15	6.99	45.88	61.69	92.35	0	10.05	22.86	69.74	12.96	14.19	59.56	43.12	41.53	43.04	19.3
ZBTB34	3.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTP23	0	0	13.2	27.48	0	0	0	19.89	0	0	0	0	0	0	0
TGM1	0	0	0	0	3.17	0	0	0	0	614.58	0	0	8.17	0	0
YIPF5	6.07	42.9	6.69	13.94	30.56	43.64	0	30.28	7.5	0	9.4	0	6.56	0	22.34
GPR63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINC1	290.61	355.43	1923.64	1305.88	731.62	399.35	1045.65	386.65	690.6	793.33	780.42	333.7	446.49	799.23	71.33
SMYD4	0	0	2.1	4.37	0	0	0	0	0	0	0	0	0	0	0
TBK1	0	14.36	71.69	97.99	13.63	0	29.89	47.28	0	0	25.17	34.45	19.74	25.01	14.95
LYAR	0	11.8	116	147.65	0	16.8	0	45.34	0	15.81	0	18.02	8.41	4.8	0
ALG5	4.6	92.85	60.86	79.23	15.43	99.17	37.59	252.31	39.78	0	85.47	85.09	14.9	56.61	67.71
DDB1	74.91	195.89	394.05	341.21	78.58	230.86	61.26	162.41	86	127.67	122.28	82.54	80.93	135.08	83.73
FGA	479.3	859.68	731.99	899.99	2095.12	1298.82	2258.08	505.63	926.4	980.47	2044.86	1580.65	1240.35	799.44	1939.16
GSTM1	184.97	933.95	1340.96	842.46	144.13	456	205.28	318.6	220.5	388.99	204.69	254.73	763.58	284.72	145.93
ATAD5	0.82	0.83	0	0	0	0	0	0	0	0	0	0	0	0	0
DCAF8	17.78	23.09	14.01	20.43	0	14.62	0	16.9	0	0	15.75	7.84	10.98	18.77	0
C21orf119	26.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP48	0	0	25.19	11.48	2.39	8.21	2.33	7.12	0	0	0	0	0	3.51	0
PEX6	0	4.94	1.8	5.63	0	2.35	0	0	0	0	0	0	0	2.01	0
FAM74A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPS15	8.61	41.73	62.68	96.92	52.01	81.7	39.42	74.44	4.26	31.46	29.34	37.18	27.9	57.24	41.2
ASNA1	135.73	61.9	265.67	266.61	44.09	163.71	28.64	80.1	135.32	53.34	115.32	101.3	122.98	64.7	72.54
IGF1R	0	1.11	8.47	5.04	0	0	1.79	9.12	0	0	1.7	5.08	2.37	4.05	4.04
CCDC124	13.15	19.92	108.8	83.09	0	18.91	53.76	109.34	24.38	26.7	81.49	40.56	28.41	40.48	12.1
FAHD1	116.23	227.85	113.14	117.83	45.9	235.97	33.55	79.59	422.62	13.88	95.33	137.1	96.02	75.77	50.34
NMI	4.85	14.68	0	0	24.39	6.97	15.85	24.17	5.99	9.84	52.54	22.42	20.94	59.66	26.76
SLC12A1	1.4	0	1.54	1.61	0	0	0	4.65	55.33	0	0	0	0	0	0
BTF3L4	0	39.73	238.69	237.28	49.52	70.71	32.17	343.47	48.63	39.94	106.66	60.68	148.74	121.11	108.63
RAD54B	1.65	1.67	0	1.9	0	0	0	0	6.12	3.35	2.56	0	0	0	0
VWF	23.07	5.55	78.16	67.52	290.36	38.7	216.48	70.33	16.3	45.72	46.8	55.91	53.4	77.78	4.04
NUDT1	7.54	0	33.28	34.66	12.66	32.54	24.67	12.54	9.32	15.31	58.43	11.63	16.3	37.15	27.77
CLSTN2	0	0	5.25	1.82	0	0	0	0	0	0	0	0	0	0	0
ANXA3	350.21	99.03	51.51	101.93	1269.6	141.02	297.84	497	300.18	417.18	260.44	388.93	50.44	391.01	713.47
CCAR1	0	15.5	53.61	77.87	0	12.87	6.27	55.3	0	0	21.79	13.81	6.91	28.35	18.83
U2AF1L4	0	0	7.28	30.32	0	9.49	10.79	21.95	8.16	0	0	0	0	0	0
DCAF11	2.75	30.6	12.15	6.33	0	0	0	13.74	0	0	4.27	0	2.98	6.78	0
LRRC10	5.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHTOP	6.43	64.98	134.88	207	118.79	37.01	10.52	149.82	31.82	0	79.75	69.47	34.76	79.24	23.69
SHOX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUTM1	8.47	0	0	1.62	2.37	0	0	2.35	1.75	0	2.19	6.53	1.53	1.74	2.6
XRCC6	172.67	341.37	930.98	684.55	395.92	521.1	286.37	784.62	291.63	276.53	508.65	532.66	325.77	473.17	693.92
AADAC	0	513.82	0	0	0	347.16	0	6.18	0	0	0	0	0	0	0
