	Heart	Liver	Ovary	Testis	lung	Adrenal	Gallbladder	Pancreas	Kidney	esophagus	colon	Rectum	urinary_bladder	prostate	placenta
NDUFV1	7140.08	1106.02	1031.63	967.51	357.99	632.16	256.6	645.62	2583.87	1034.49	919.37	1173.6	780.5	728.99	781.3
WDR82	0	105.06	560.42	879.42	79.79	70.44	111.51	297.59	213.89	99.91	467.95	312.27	164.89	542.3	226.37
CEND1	0	0	0	0	0	247.87	0	0	0	0	168.88	244.17	110.51	535.63	0
NDUFA9	8210.74	1213.78	902.89	975.15	526.71	1540.45	122.7	596.38	3324.13	2761.83	1336.66	973.47	738.64	659.47	2334.94
CYP2S1	0	0	0	0	75.21	0	46.72	26.72	0	62.79	135.73	152.64	0	0	0
UPF1	58.75	326.04	1046.48	1000.12	225.08	437.21	188.76	479.73	40.23	98.65	274.18	371.95	225.94	426.75	319.3
IGFALS	12.29	13.95	170.12	131.39	63.58	0	0	0	0	26.54	38.24	0	62.57	106.13	0
NAMPT	1096.5	5941.14	1332.03	1475.89	1008.19	2225.39	822	1477.31	608.13	1767.44	545.82	591.89	833.43	1316.42	393.31
MRPL27	50.5	229.3	116.49	119.96	0	230.61	0	278.35	0	0	78.56	227.17	0	0	0
IGKV1-5	63.57	0	73.32	151.01	219.2	193.54	510.63	0	293.82	274.49	98.9	190.65	647.17	705.75	0
FAM13B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLR3F	22.75	25.82	0	108.06	0	69.25	0	41.79	0	0	35.39	0	0	0	0
NDC80	0	0	25.33	39.13	0	0	0	0	0	0	0	0	11.18	0	0
AWAT1	0	48.8	0	0	0	32.72	34.53	0	0	0	33.44	32.23	21.88	53.03	0
HIST1H1C	2849.46	4916.38	13846.13	9791.5	6942.92	0	3539.84	7398.91	3863.06	2788.62	6264.72	9057.9	2049.8	5764.11	11242.93
ACAA1	549.79	4181.33	908.84	1480.05	410.73	948.45	294.4	404.04	3924.46	118.69	313.59	439.67	373.12	836.39	582.66
PCDH1	14.15	16.06	8.16	0	85.37	0	22.73	103.97	0	0	77.03	21.21	14.4	43.63	51.9
BCL10	0	0	35.66	0	0	0	0	56.81	0	0	0	0	0	0	0
IBTK	5.39	0	0	0	9.3	0	0	19.81	0	11.64	0	0	0	0	0
PKD1	1.75	0	0	0	0	0	0	0	0	0	0	0	1.79	0	4.29
LARS2	47.76	54.21	91.8	141.8	13.72	169.63	25.57	102.37	61.31	0	49.53	47.74	32.41	49.09	19.47
GTF2F1	0	31.64	80.37	231.74	0	169.72	44.78	204.85	0	0	0	0	0	34.38	0
WDR12	0	38.63	215.85	282.9	0	77.69	54.66	218.81	0	0	52.93	51.02	17.32	41.97	0
RAP2A	0	44.7	0	46.76	67.88	59.93	189.76	289.36	60.66	85	0	59.04	200.41	0	1155.57
ABCA5	4.35	0	0	5.17	0	0	6.99	0	0	0	0	0	0	0	0
BMP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRI3BP	58.32	132.4	100.89	138.53	251.36	177.55	140.53	321.45	44.92	125.9	136.09	131.17	59.37	107.91	570.53
GGT7	0	26.15	13.28	54.72	0	17.53	0	105.82	0	0	0	0	0	28.42	0
NCKAP1L	0	21.57	7.3	7.52	87.36	19.28	20.35	46.55	9.76	0	29.56	47.49	25.79	39.06	15.49
DIRAS1	36.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEC62	35.4	180.81	347.01	273.26	213.59	377.17	28.43	455.24	81.8	0	220.26	132.69	108.1	174.65	216.43
RTN4	124.95	0	763.73	808.73	1120.11	1483.45	582.07	849.34	837.33	701.3	991.26	636.99	1297.35	909.28	550.03
HAPLN1	20.21	0	46.61	0	0	0	0	0	0	0	220.06	242.42	20.57	124.64	691.94
YKT6	72.42	205.5	1670.35	1634.1	436.96	771.6	348.99	931.31	390.47	1016.15	619.58	760.09	479.16	535.94	885.52
LMOD3	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEX10	0	8.72	150.6	127.72	13.24	35.08	0	14.11	0	0	0	0	0	0	18.79
C2orf49	31.39	0	108.61	260.97	0	0	0	57.67	0	0	0	0	0	0	0
TBC1D22A	0	15.58	0	48.92	0	0	22.06	25.22	21.15	29.64	0	0	0	0	0
PCMT1	2965.36	1383.81	2659.94	3482.67	1249.66	1354.12	899.78	2542.4	1827.35	924.67	2255.18	3260.67	1744.1	3535.73	1692.18
EMC10	0	67.39	34.23	105.76	0	45.18	0	0	0	0	0	0	0	0	145.18
BARHL2	19.34	0	0	22.96	0	0	0	0	0	0	0	0	0	0	0
STK10	14.48	49.3	183.66	447.05	24.96	33.06	116.28	146.29	0	0	45.04	54.27	51.58	62.5	106.22
SPATS2	0	15.47	0	97.14	0	20.75	0	25.04	21	0	21.21	0	0	0	0
PRSS2	0	0	0	0	0	0	295.37	17059.19	0	0	0	45.95	0	0	0
OTUD4	0	14.87	30.22	116.7	0	0	0	36.1	0	0	0	9.82	0	8.08	48.06
IFI35	0	175.25	0	0	88.72	78.33	82.67	47.27	39.64	0	440.3	77.16	157.16	285.65	62.93
EIF2S3L	0	35.97	54.82	37.64	0	0	0	1368.19	24.41	0	0	23.76	451.63	0	775.02
IQSEC1	0	17.01	51.86	0	0	22.81	48.15	41.3	0	0	0	0	0	27.73	0
PPP1CB	567.53	371.66	1107.66	1244.35	376.31	265.8	1016.87	320.82	874.32	1413.66	1188.44	1014.62	1066.57	915.41	907.52
C16orf62	14.82	117.74	187.98	167.18	63.86	191.71	0	163.34	79.9	0	138.3	55.54	67.88	109.66	36.24
XPO1	223.68	403.25	1532.6	1304.8	385.61	440.6	158.52	773.53	70.95	227.23	501.45	493.22	261.18	592.36	450.49
NINL	0	0	0	0	8.95	0	8.34	0	0	0	0	0	0	0	0
MED7	0	0	0	35.38	0	0	0	0	0	0	0	0	0	0	0
CALHM2	0	0	129.39	106.6	0	0	0	0	0	0	0	0	22.84	27.68	0
HOXB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APCS	4348.43	3447.91	6305.64	6949.15	10803.99	5548.25	7139.41	5404.32	3349.56	6350.24	2884.8	1917.71	2929.34	4535.41	938.35
KRT82	14.33	32.53	0	0	0	0	0	0	0	0	0	0	0	0	0
EPX	0	22.74	0	0	224.48	0	0	0	0	0	1121.84	690.86	0	37.06	0
PRKG1	106.3	24.13	380.03	227.24	311.53	113.26	426.88	468.69	65.5	137.68	578.73	318.77	486.93	629.34	181.97
IRF2	0	23.41	0	0	0	0	0	0	0	0	0	0	0	0	0
SOD1	7487.6	13818.55	2760.98	4658.04	7639.75	9769.08	5236.72	4491.87	21971.97	8906.75	5071.07	5193.53	4096.25	5089.04	5730.28
TBC1D8B	75.68	21.48	14.55	59.92	0	143.99	10.13	57.93	0	40.84	0	0	0	0	0
NDUFS6	4084.63	470.37	477.9	773.36	612.34	450.54	1331.33	1740.14	1185.59	638.97	736.7	1952.79	421.83	876.21	289.55
IKBKAP	0	73.59	299.06	301.55	0	205.58	43.39	168.73	16.65	23.32	58.83	48.6	27.5	113.28	26.42
PANX2	0	0	12.57	12.95	0	49.79	0	0	0	0	0	16.35	0	0	0
YTHDC1	0	10.88	154.74	227.63	0	0	0	52.82	0	0	0	0	0	11.82	0
FLVCR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THBS1	194.49	220.76	195.36	186.28	995.06	477.48	1410.94	3238.87	637.91	135.44	234.22	272.81	249.07	626.81	352.9
SACM1L	206.06	619.15	615.09	950.11	647.8	1236.17	350.49	556.73	354.8	130.83	471.39	418.02	357.83	448.53	533.59
LAMTOR5	337.72	191.68	0	0	873.35	257.03	813.78	155.12	520.29	364.54	131.34	126.6	0	208.28	1445.41
FDX1L	41.58	0	0	0	0	63.29	0	0	0	0	0	0	0	0	0
NLE1	0	17.28	140.46	144.64	0	23.17	24.46	139.84	0	0	0	45.65	15.5	75.11	0
DPF3	0	0	21.73	0	0	0	0	0	0	0	0	0	0	0	0
SMAD2	31.04	35.23	196.87	202.74	0	165.35	99.72	85.53	0	0	120.7	69.81	110.58	76.57	37.95
ARHGDIB	741.52	841.71	814.47	922.6	2617.62	0	2949.59	2530.05	1577.56	1372.1	1702.78	2859.08	1581.58	1611.5	2677.06
GPX1	845.23	2127.44	2542.96	2356.84	1583.88	4419.09	1534.89	1890.46	4529.22	2618.01	1715	2865.37	1795.66	2311.77	2786.14
FUBP3	39.51	657.71	410.06	766.35	272.43	240.54	63.46	604.84	40.57	56.86	307.28	217.2	294.92	454.81	225.44
NME3	554.95	0	787.71	1013.97	1103.91	909.69	754.32	1176.41	1118	460.77	1128.89	704.09	651.83	789.81	1044
RPL29	502.98	882.36	632.82	814.58	315.32	278.4	0	1008.09	211.33	592.27	355.65	342.81	139.64	338.4	1789.24
NDRG3	19.6	22.25	542.58	325.93	0	238.7	31.49	144.06	0	42.32	30.49	88.18	59.86	169.25	47.94
TRHDE	6.94	0	8	0	0	0	11.14	0	0	0	0	0	0	0	0
CHRNA3	14.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBS9	0	9.28	9.43	58.26	0	0	13.13	0	0	0	0	0	0	10.08	0
RASA1	13.95	23.75	201.06	157.36	12.02	74.3	0	38.43	0	0	65.09	0	21.3	43.01	2114.73
TPM2	4002.87	869.47	1424.84	2171.58	3833.83	7371.74	22624.83	1588.86	3121.44	11788.46	5957.75	10596.21	10715.18	8320.4	1631.59
GTPBP4	0	99.66	278.45	195.51	0	183.75	35.26	423.41	50.72	0	34.14	65.82	22.34	40.61	26.84
NOP2	0	175.4	157.24	215.9	15.67	27.67	29.2	183.69	0	0	42.42	40.89	9.25	67.27	22.23
TYMS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB4	0	0	4.63	14.31	62.3	0	38.7	265.56	6.19	147.35	256.08	228.77	89.92	232.77	638.26
DIS3	0	67.62	377.88	265.32	12.84	11.34	23.92	136.81	11.47	0	46.34	78.16	7.58	91.85	18.21
EP400	0	0	10.9	36.49	0	0	0	13.02	0	0	0	0	0	2.91	0
ASCC2	0	21.34	32.52	78.14	0	28.61	0	69.07	0	20.29	0	0	19.14	23.19	114.94
HS2ST1	0	22	44.71	46.04	0	118.01	0	71.22	0	0	30.15	0	0	0	47.4
ANP32B	140.98	576.11	1008.08	569.28	631.93	343.35	181.18	984.25	260.63	0	482.48	422.79	401.84	173.9	1723.95
INPP1	18.45	167.53	148.94	131.47	63.61	168.49	59.27	135.58	56.84	318.62	143.49	55.33	93.9	136.54	45.12
EIF5B	29.23	192.47	546.2	534.7	20.16	284.8	65.75	644.53	27.02	63.11	200.1	43.84	95.23	165.88	100.1
DMXL1	0	5.45	11.08	28.54	0	7.31	7.72	13.24	7.4	0	3.74	0	0	26.67	5.88
DMXL2	0	2.71	11.03	31.22	0	10.91	0	26.34	0	0	3.72	0	2.43	5.9	5.84
PPP2R2D	0	17.7	107.93	148.19	0	47.48	0	28.66	0	0	0	0	31.76	19.24	0
C17orf59	21.81	49.5	0	25.9	0	33.19	70.06	280.42	0	0	67.84	65.39	66.59	107.58	53.33
SGCE	65.13	18.48	244.13	328.75	56.14	24.78	209.25	119.66	0	35.15	506.59	317.4	215.48	200.84	0
KRAS	0	85.09	345.82	400.64	193.86	57.05	60.21	550.9	173.23	0	291.54	337.21	305.25	231.16	916.68
PPBP	175.27	265.26	67.38	69.38	503.6	0	281.55	107.33	360.02	126.12	0	0	59.47	144.12	571.52
HSBP1	95	0	0	0	327.57	0	0	349.09	292.72	205.09	0	0	0	0	0
RIN3	0	0	0	8.94	0	11.46	24.18	13.83	0	0	0	0	7.66	0	0
MICALL1	0	0	0	103.17	0	0	55.82	31.92	0	0	67.57	26.05	88.43	107.15	148.72
EGFLAM	7.29	0	126.2	0	12.58	0	0	0	0	0	0	0	0	89.98	53.52
SLC1A5	14.34	48.84	148.86	68.13	271.98	21.83	46.08	26.35	88.38	309.61	44.62	0	73	106.14	350.75
TPI1	17003.59	15291.18	13103.81	10112.79	8816.93	16853.42	7029.81	12108.24	26033.02	17073.04	12343.59	9605.41	11915.1	10372.83	13281.3
TFPI	0	0	26.74	0	0	0	37.24	42.59	0	0	0	0	0	0	113.39
LMAN1	521.88	2225.47	1561.63	1675.15	1337.41	944.66	475.82	2202.65	717.08	304.49	592.41	951.72	559.97	939.48	3001.09
KNG1	755.8	550.6	1105.83	1111.98	1458.57	944.39	2645.69	683.92	1929.04	1436.79	1596.86	1082.53	1630.62	1154.88	524.18
DDX25	0	0	17.12	264.4	0	0	0	0	0	0	0	0	0	0	0
DBR1	0	0	76.04	15.66	22.73	0	0	72.68	0	0	0	0	0	48.8	0
ANO2	14.24	32.34	0	8.46	0	0	0	13.09	0	0	0	0	7.25	0	0
ABCA13	1.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT85	0	429.31	0	0	25.08	0	0	0	201.69	0	45.26	0	14.81	0	71.15
LEMD3	0	27.64	346.38	337.42	13.99	12.36	52.16	253.53	12.51	0	25.25	36.51	66.11	70.09	19.85
TRPC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDHA	8017.57	5412.34	1905.98	1989.28	1001.05	0	1435.03	2133.59	4902.85	891.93	2188.68	2561.76	1591.4	1088.1	682.73
SLC25A20	1946.51	4446.97	312.58	351.15	637.17	1162.65	39.58	316.87	1404.48	265.95	498.27	184.73	225.74	182.35	361.55
MT-ATP6	1733.53	1262.33	641.27	699.22	507.5	697.01	210.17	721.1	806.23	282.44	559.68	490.44	399.55	605.16	319.97
PPP1R3G	42.7	0	0	0	0	0	0	0	0	0	33.21	0	65.2	26.33	0
MPL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	70355.66	5832.84	37117.05	23264.01	22147.02	13790.81	69326.05	993.75	13362.6	66849.97	100519.28	90402.68	14925.7	125191.41	1464.58
XAGE1A	0	0	0	212.39	0	0	0	0	0	0	0	134.07	91.02	0	0
TFDP1	0	0	0	42.78	0	0	28.93	0	0	0	0	0	0	0	0
NAALADL1	10.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPA3	553.51	1815.09	4823.19	4114.7	3534.26	2652.41	2535.77	4143.02	2684.53	708.1	3157.14	3657.97	1377.34	2478.08	5264.36
CNNM1	0	0	0	0	0	0	0	0	0	16.79	0	0	0	0	0
ECI1	4081.34	3734.31	827.29	881.31	1023.45	1129.53	635.76	1090.66	3124.77	1334.96	1115.86	1149.77	805.75	793.26	1330.87
SHPK	15.76	411.57	527.24	730.17	108.71	71.99	278.56	463.4	437.15	0	220.7	118.19	112.33	252.78	231.32
RBM15B	0	0	28.89	9.92	0	0	13.41	30.68	0	0	0	0	0	10.3	0
ITGB2	0	97.81	66.25	79.6	478.67	29.15	399.88	211.08	0	0	253.19	229.69	68.22	153.52	70.24
PES1	0	108.39	192.73	241	41.16	54.51	76.7	197.37	0	0	55.7	53.69	0	44.17	29.19
FOXD1	17.59	0	20.29	0	0	0	28.26	0	0	0	0	0	0	0	0
COL4A1	500.33	229.47	128.23	162.06	2047.49	769.27	2557.31	1132.76	2795.11	349.12	723.27	1280.66	1059.79	1147	716.87
RPS17	835.21	4088.49	4093.76	3285.77	1529.88	1032.94	1677.1	4795.18	1447.55	225.38	2354.87	2661.23	1859.84	1674.07	7021.49
RUFY3	30.65	69.58	159.07	327.62	26.42	233.28	98.48	112.63	23.61	0	23.84	114.9	0	132.32	0
SOX17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASGRF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK2B	636.61	76.07	115.93	159.17	115.53	0	71.77	61.56	34.41	72.33	312.73	217.71	227.39	192.87	0
HYPK	55.35	0	319.18	0	0	84.25	0	305.07	0	0	86.1	248.98	0	0	0
C2orf44	30.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C18orf63	10.51	0	0	49.93	0	0	0	0	0	0	0	0	0	0	0
CIB1	0	0	0	44.42	451.35	0	0	755.85	115.24	0	290.9	168.24	152.29	461.33	457.35
TRPC6	7.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUL5	44.62	111.43	421.99	487.55	92.31	190.18	86.02	295.13	55	77.06	277.65	133.82	218.03	286.2	87.3
LACTB2	296.92	1600.9	941.68	1763.15	341.25	979.23	357.72	318.21	2134.64	53.41	461.88	333.9	327.44	183.12	121.02
LEPREL2	0	11.26	45.76	23.56	34.2	0	0	0	0	0	15.43	29.74	50.48	0	97.03
RHOT1	286.69	156.2	396.76	313.25	79.08	384.02	36.84	210.68	194.33	24.76	249.74	34.39	221.8	155.59	56.09
101060047	29.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM135B	10.42	0	0	0	0	0	8.37	0	0	0	0	0	5.3	6.43	12.74
PRKD1	7.98	0	119.66	170.62	0	12.15	0	73.32	0	0	0	0	40.62	98.44	0
KMT2C	1.5	0	0	3.56	0	2.28	0	0	0	3.24	0	4.5	3.05	7.4	0
C1orf196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFKL	353.26	1625.64	2279.31	2290.51	740.7	668.51	874.22	1631.31	2853.52	845.06	1306.99	1102.33	1409.27	1142.33	1074.1
RPL10	2177.42	2022.24	2092.67	2390.1	1820.05	1456.31	1324.93	3939.79	1575.6	498.55	1334.34	2127.14	570.93	1383.58	3308.07
MED28	0	0	0	49.39	0	0	0	0	0	0	0	0	0	0	0
GOLPH3	0	354.27	304.56	370.66	248.33	219.26	231.39	308.75	36.99	0	485.49	251.98	48.88	355.35	234.85
FGD6	5.05	0	0	0	0	0	0	0	0	0	7.85	0	0	0	12.34
STAG3	58.38	99.41	303	208.01	140.91	71.09	168.81	225.25	17.99	25.21	172.56	113.8	101.03	151.23	157.06
COX11	129.13	0	29.79	0	0	0	0	0	0	0	0	0	0	0	0
RRP1B	0	43.65	110.88	205.53	0	0	30.89	123.64	0	0	14.96	0	0	11.86	0
POF1B	11.93	0	0	0	20.56	0	0	460.11	0	205.96	871.91	929.85	230.66	132.39	0
PRPS1	163.12	634.82	994.36	802.58	321.39	354.7	336.9	1070.29	430.79	150.91	362.49	139.76	498.14	287.43	797.85
SERPINB6	1618.79	1491.62	4392.79	2691.57	4005.58	3014.82	1927.37	4618.54	2933.98	1850.09	3051.42	1770.48	2481.5	2654.45	2189.08
RGS10	0	0	46.26	95.28	138.31	61.06	64.44	147.39	0	0	561.59	360.88	326.67	494.77	294.3
YWHAH	1208.13	1306.06	1426.5	1742.29	2181.98	2145.44	3095.94	3435.08	1905.54	2173.4	2192.57	1984.04	1171.27	1561.14	3024.99
CFL2	3162.48	1868.65	1548.84	1389.17	1120.29	1384.78	2714.09	557.14	934.37	654.65	4649.95	4027.4	4145.4	3900.79	847.59
PHF20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLGLA	74.37	0	171.53	264.97	0	1697.97	716.78	136.63	0	160.54	231.37	111.51	75.7	183.46	181.88
MPG	0	28.03	313.29	322.63	85.15	37.59	79.34	45.37	0	0	38.42	37.03	50.28	60.92	0
FH	6373.46	4772.47	1439.25	1570.35	640.31	2510.14	811.43	1583.09	4005.36	1282.88	1594.63	1492.52	998.15	952.9	1889.35
SEPT8	29.12	115.68	436.54	466.84	225.89	132.96	187.09	401.2	89.71	125.71	339.7	392.93	311.22	395.06	356.05
GALC	0	0	85.07	137.66	0	128.31	33.85	58.08	16.23	0	65.57	79	32.18	51.99	0
RPL32	358.26	3718.1	2715.18	1276.46	882.34	1168.56	822.16	2726.84	867.32	441.95	955.38	1458.09	885.7	568.16	2503.36
MPZL1	27.91	0	418.47	397.79	48.12	0	44.84	153.84	0	0	43.42	83.7	56.83	103.28	0
ZC3H15	33.4	246.45	308.18	456.21	0	50.84	107.32	368.21	77.19	72.11	285.78	200.34	187.02	206	122.54
ZBTB34	14.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTP23	0	0	65.92	135.77	0	0	0	105.01	0	0	0	0	0	0	0
TGM1	0	0	0	0	15.59	0	0	0	0	3122.63	0	0	36.81	0	0
YIPF5	29	230.44	33.45	68.89	149.99	220.72	0	159.84	44.68	0	45.11	0	29.52	0	141.85
GPR63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINC1	1388.82	1909.27	9610.27	6451.08	3591.46	2020.03	4908.2	2041.25	4112.77	4030.85	3744.74	1550.26	2010.7	3825.81	452.87
SMYD4	0	0	10.49	21.61	0	0	0	0	0	0	0	0	0	0	0
TBK1	0	77.11	358.15	484.08	66.92	0	140.31	249.61	0	0	120.77	160.07	88.91	119.7	94.94
LYAR	0	63.38	579.52	729.41	0	84.99	0	239.35	0	80.35	0	83.72	37.89	22.96	0
ALG5	21.97	498.78	304.06	391.4	75.75	501.63	176.47	1332.02	236.93	0	410.12	395.32	67.1	271	429.85
DDB1	358.01	1052.25	1968.62	1685.59	385.76	1167.75	287.56	857.42	512.15	648.66	586.75	383.44	364.45	646.62	531.6
FGA	2290.55	4617.96	3656.94	4445.97	10284.77	6569.82	10599.27	2669.4	5517.01	4981.69	9811.95	7343.24	5585.65	3826.81	12311.53
GSTM1	883.95	5016.91	6699.25	4161.78	707.53	2306.58	963.56	1682	1313.16	1976.4	982.18	1183.42	3438.64	1362.89	926.49
ATAD5	3.91	4.44	0	0	0	0	0	0	0	0	0	0	0	0	0
DCAF8	84.99	124.04	70.02	100.94	0	73.93	0	89.23	0	0	75.55	36.41	49.44	89.86	0
C21orf119	124.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP48	0	0	125.83	56.69	11.76	41.52	10.95	37.59	0	0	0	0	0	16.82	0
PEX6	0	26.56	9	27.79	0	11.87	0	0	0	0	0	0	0	9.62	0
FAM74A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPS15	41.14	224.15	313.14	478.81	255.32	413.29	185.04	393.02	25.35	159.86	140.79	172.72	125.63	274.01	261.59
ASNA1	648.65	332.52	1327.25	1317.09	216.44	828.1	134.45	422.87	805.89	271.03	553.34	470.62	553.81	309.71	460.56
IGF1R	0	5.95	42.33	24.91	0	0	8.42	48.17	0	0	8.16	23.59	10.68	19.4	25.65
CCDC124	62.84	106.99	543.53	410.47	0	95.65	252.36	577.24	145.21	135.65	391	188.45	127.94	193.77	76.84
FAHD1	555.46	1223.92	565.24	582.08	225.32	1193.63	157.46	420.2	2516.84	70.54	457.44	636.9	432.39	362.72	319.63
NMI	23.15	78.85	0	0	119.75	35.24	74.39	127.62	35.67	49.98	252.13	104.15	94.28	285.6	169.88
SLC12A1	6.68	0	7.71	7.94	0	0	0	24.56	329.49	0	0	0	0	0	0
BTF3L4	0	213.4	1192.48	1172.18	243.08	357.7	151	1813.29	289.62	202.92	511.78	281.89	669.81	579.71	689.65
RAD54B	7.88	8.95	0	9.36	0	0	0	0	36.43	17.02	12.26	0	0	0	0
VWF	110.24	29.79	390.48	333.54	1425.34	195.76	1016.12	371.3	97.04	232.31	224.56	259.74	240.46	372.3	25.68
NUDT1	36.04	0	166.28	171.23	62.14	164.59	115.8	66.22	55.53	77.81	280.35	54.05	73.38	177.84	176.3
CLSTN2	0	0	26.25	9.01	0	0	0	0	0	0	0	0	0	0	0
ANXA3	1673.64	531.94	257.36	503.55	6232.34	713.31	1398.04	2623.87	1787.68	2119.64	1249.68	1806.86	227.16	1871.7	4529.73
CCAR1	0	83.25	267.83	384.68	0	65.12	29.45	291.93	0	0	104.57	64.15	31.11	135.69	119.57
