Protein	Description	Gene	H13_1	H13_2	H16_1	H16_2	H19_1	H19_2	H22_1	H22_2	H25_1	H25_2	H28_1	H28_2	H31_1	H31_2	H34_1	H34_2	H37_1	H37_2
A0A024QYR3	Transmembrane 9 superfamily member		136863.703125	154366.25	135162.65625	139676.390625	146829.5	137750.25	151123.53125	148387.421875	156436	129424.078125	183018.9375	148956.484375	146211.015625	148068.46875	170228.75	149596.5625	171423.265625	156167.78125
A0A024QYR8	Transmembrane 9 superfamily member	TM9SF2	174718.984375	165086.296875	205279.921875	218034.625	231999.171875	216986.296875	237394.265625	228228.0625	261221.984375	218829.1875	200727.640625	235457.453125	275549.8125	255707.828125	247317.1875	241450.5	354326	229269.3125
A0A024QYS2	Transmembrane 9 superfamily member		277948.53125	311820.59375	275968.84375	338090.5625	345649.28125	339711.34375	299222.5	301990.1875	308263.21875	296841.4375	320963.375	367371.125	384587.8125	391460.40625	444292.375	387394.34375	459261.71875	387881.0625
A0A024QYT5	Serpin peptidase inhibitor, clade E (Nexin, plasminogen activator inhibitor type 1), member 1, isoform CRA_b	SERPINE1	45197.8828125	30336.671875	44679.79296875	32353.947265625	54055.35546875	37562.9453125	59704.26171875	48833.26171875	65222.9609375	64887.65625	49915.19140625	97838.5625	59847.72265625	67672.765625	81428.6328125	74224.59375	107885.1328125	49258.6484375
A0A024QYT6	AP complex subunit sigma	AP1S1	56599.8125	55649.265625	77238.03125	87807.59375	61733.0078125	71635.78125	88348.40625	76866.265625	93761.0703125	119541.203125	86147.46875	97983.1875	88844.1875	78282.75	98453.5546875	75560.5078125	111054.5078125	79517.6484375
A0A024QYU9	Eukaryotic translation initiation factor 3 subunit C	EIF3S8	96223.046875	85388.2421875	107217.6953125	95894.828125	90787.515625	81487.0078125	106438.828125	106253.5625	86593.1015625	86566.9296875	75538.9609375	86657.7734375	88148.046875	77197.5234375	103083.34375	95403.5859375	94513.75	89693.71875
A0A024QYV3	RAB, member RAS oncogene family-like 5, isoform CRA_a	RABL5	0	7728.30224609375	0	0	0	0	0	0	0	0	14159.6904296875	14342.88671875	0	17604.0234375	0	6996.5478515625	0	0
A0A024QYW3	Proteolipid protein 2 (Colonic epithelium-enriched), isoform CRA_a	PLP2	1848280.625	1605740.25	1939501	2071346.75	2131386.75	1764729	1627894.125	1568925.75	1739775.25	1623900	1671458.75	1666277.75	1533999.75	1218697.25	1502065.5	1453303.75	1505020.5	1358476.25
A0A024QYW6	WD repeat domain 45, isoform CRA_c	WDR45	20117.158203125	16642.04296875	13029.1484375	13076.8701171875	15222	18932.392578125	11727.775390625	23210.59765625	20638.015625	16599.302734375	16381.2724609375	11930.046875	23493.61328125	27035.951171875	9147.8818359375	9347.013671875	10537.8828125	9833.775390625
A0A024QYX0	Emopamil binding protein	EBP	260561.359375	316850.25	196784	220827.828125	422224.59375	568464.3125	207969.265625	568813.375	0	254850.71875	456173.59375	499613.1875	220786.75	506312.34375	268887.09375	464291.84375	350854.15625	191949.34375
A0A024QYX3	RNA binding motif (RNP1, RRM) protein 3, isoform CRA_c	RBM3	400701.84375	421669.9375	428460.5625	501274.71875	482635.90625	455171	310272.75	348599.90625	361034.15625	398602.90625	255430	258378.609375	245779.21875	358290.625	195727.3125	208742.578125	140736.171875	146341.46875
A0A024QYX5	Putative tRNA (cytidine(32)/guanosine(34)-2-O)-methyltransferase	FTSJ1	13839.8955078125	8800.6728515625	23976.025390625	18788.8046875	10641.7265625	15905.828125	21936.072265625	7486.4326171875	21321.654296875	14494.56640625	10167.267578125	20570.263671875	9073.751953125	5440.63232421875	9182.033203125	7298.49755859375	10084.208984375	7348.22314453125
A0A024QYY0	Solute carrier family 38, member 5, isoform CRA_a	SLC38A5	17532.662109375	2259.79370117188	16651.697265625	10129.16015625	16420.056640625	12314.8515625	20864.09765625	15870.70703125	14484.3076171875	0	7544.01318359375	10483.875	7588.7294921875	8987.646484375	10707.1025390625	5757.6181640625	0	0
A0A024QYY1	Epsin 2, isoform CRA_a	EPN2	24689.2734375	18215.44921875	23461.087890625	16225.7392578125	20501.3125	22354.09765625	15054.474609375	21675.138671875	30281.224609375	17483.6015625	18348.20703125	15256.078125	17865.140625	20155.21484375	24749.857421875	19421.05859375	19860.892578125	15147.447265625
A0A024QYY3	Phosphoribosyl pyrophosphate synthetase-associated protein 2, isoform CRA_a	PRPSAP2	17511.7578125	14144.90234375	20677.70703125	16448.111328125	15273.8544921875	8266.09375	16130.8984375	17813.982421875	11589.0771484375	18162.748046875	17354.64453125	15705.787109375	17520.4140625	10616.6875	24398.4296875	20820.873046875	14819.9873046875	14862.6689453125
A0A024QYY9	Spectrin domain with coiled-coils 1, isoform CRA_a	SPECC1	15951.7734375	11274.7724609375	12171.86328125	11485.337890625	15028.4072265625	12033.0126953125	15627.724609375	14697.892578125	20271.87109375	12990.83203125	14553.2216796875	9295.17578125	10906.5205078125	20485.068359375	9321.18359375	7198.20654296875	6921.6318359375	7713.03076171875
A0A024QYZ0	Sec61 gamma subunit, isoform CRA_a	SEC61G	727312.5	969342.5	582606.0625	658860.0625	869308.4375	779654.5625	792169.3125	555790.3125	569951.5625	613892.625	617075.0625	717988.75	721589.3125	625114.375	373243.125	532536	825370.1875	616211.0625
A0A024QYZ6	Exocyst complex component 3, isoform CRA_a	EXOC3	25985.953125	24560.587890625	24689.435546875	22094.55078125	25644.51953125	24135.603515625	22763.009765625	24670.431640625	26900.201171875	24986.083984375	21377.404296875	22854.27734375	21153.072265625	26798.025390625	27852.23828125	22839.1953125	23895.4609375	19095.640625
A0A024QZ03	Coiled-coil domain containing 22, isoform CRA_a	CCDC22	20746.70703125	18021.455078125	17083.1640625	17414.66796875	17357.30859375	21166.7265625	21189.291015625	22065.205078125	20757.244140625	24433.8125	24153.9765625	28243.150390625	23669.955078125	24139.521484375	30323.978515625	24127.865234375	22388.84765625	31294.30859375
A0A024QZ08	Intraflagellar transport 20 homolog (Chlamydomonas), isoform CRA_c	IFT20	6411.638671875	5018.4697265625	7233.30517578125	5574.1796875	5876.09765625	7171.064453125	16981.275390625	7819.482421875	7035.4931640625	14236.583984375	16644.09375	7447.853515625	24638.443359375	7429.19140625	16233.35546875	11428.53125	11173.6572265625	5128.54345703125
A0A024QZ15	Heme carrier protein 1, isoform CRA_a	HCP1	22309.166015625	31531.306640625	25413.037109375	20394.1796875	22544.990234375	25238.087890625	29219.3203125	30728.380859375	32399.57421875	13619.4462890625	35134.8046875	12952.50390625	47353.4609375	36822.828125	42566.25390625	42827.7109375	50762.75390625	36864.83203125
A0A024QZ19	TNF receptor-associated factor	TRAF4	89002.328125	70199.8984375	292649.9375	73349.7421875	216488.9375	161925.59375	91808.9453125	131021.484375	203251.109375	136121.40625	234245.46875	320525.90625	263364.84375	257316.953125	335011.65625	109481.3359375	185127.171875	464508.125
A0A024QZ20	Mitogen-activated protein kinase	MAPK7	5207.3173828125	3911.95971679688	11679.12890625	8682.4169921875	4567.5185546875	5686.8095703125	9591.16015625	9904.12109375	8171.00048828125	18257.48046875	7450.22314453125	8736.2265625	9723.3603515625	8284.2548828125	16891.0625	0	11563.1318359375	17478.423828125
A0A024QZ22	PRA1 family protein	PRAF2	1028662.4375	935471.9375	1147796.25	1207161.75	1050420.5	1116953.625	1068574.5	1130329.375	1372169.625	1098530.625	1280616.25	1462376.25	1124429.5	1023351.8125	1242161.125	1777308.875	1893382.25	1265283.75
A0A024QZ23	Transcription factor binding to IGHM enhancer 3, isoform CRA_a	TFE3	12383.3369140625	11598.6474609375	11373.5302734375	12218.423828125	0	11803.890625	14076.3154296875	11598.697265625	10404.8203125	0	5526.11669921875	0	7658.56591796875	0	6002.693359375	3196.638671875	0	0
A0A024QZ30	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	SDHA	290835.25	321422.96875	357240.25	306468.28125	324766.625	286492.59375	257263.78125	262829.8125	262363.4375	283887.59375	349787.59375	309708.1875	330359.84375	256171.453125	415924.625	382224.0625	333331.6875	367857.59375
A0A024QZ35	Pleckstrin homology domain containing, family B (Evectins) member 2, isoform CRA_b	PLEKHB2	6686.81640625	4641.408203125	0	5970.08740234375	7838.55419921875	2979.01733398438	7243.15771484375	8171.2919921875	8846.921875	5080.41650390625	5646.2958984375	0	0	12351.474609375	0	0	0	0
A0A024QZ48	Integrator complex subunit 2, isoform CRA_a	INTS2	13893.986328125	10536.55078125	13023.9501953125	12438.25	15260.7158203125	11887.416015625	17259.376953125	26224.462890625	27046.7265625	13613.365234375	8148.6279296875	42888.20703125	15694.673828125	15880.9794921875	6918.74951171875	8818.8564453125	34091.29296875	4745.57080078125
A0A024QZ62	Flotillin	hCG_1998851	170541.671875	204854	188281.75	171521.546875	192064.34375	171985.578125	178289.375	163781.75	175413.734375	176738.515625	228000.8125	203198.5	231406.1875	192246.171875	271833.375	285385.375	282791.40625	264165.75
A0A024QZ63	HCG27198, isoform CRA_c	hCG_27198	93287.4765625	58813.515625	48504.375	31186.294921875	32663.365234375	76004.96875	130409.078125	158772.859375	110106.5546875	81657.9296875	43540.70703125	61609.12890625	42019.51953125	146128.828125	74429.46875	44557.02734375	70853.5078125	51781.609375
A0A024QZ64	Fructose-bisphosphate aldolase	ALDOC	144045.875	146554.953125	169885.9375	95549.984375	94425.1328125	117699.109375	170707.953125	164275.9375	106695.1328125	150381.578125	114643.40625	219415.46875	121613.4296875	257405.296875	184398.875	136191.953125	140940.453125	203562.171875
A0A024QZ68	RAB34, member RAS oncogene family, isoform CRA_b	RAB34	122665.3125	164477.96875	164592.796875	157577.40625	160733.90625	148562.25	139527.28125	158483.1875	142112.3125	138996.671875	180718.90625	161484.578125	152956.890625	165848.765625	189565.0625	178253.640625	202850.34375	170731.65625
A0A024QZ70	TAO kinase 1, isoform CRA_a	TAOK1	36893.35546875	42594.29296875	44139.56640625	36700.28125	40413.56640625	39351.63671875	35020.8515625	30500.3046875	30957.25390625	34931.0703125	34141.00390625	29138.474609375	32190.615234375	30561.6484375	42260.8046875	35268.75	33431.94921875	32413.66796875
A0A024QZ77	EF-hand domain family, member D2, isoform CRA_a	EFHD2	45227.24609375	46511.06640625	81205.96875	40472.82421875	44809.53515625	43407.65625	50171.24609375	51800.58203125	29865.392578125	46407.83984375	43633.0546875	30056.865234375	33761.98046875	28428.8203125	34642.6640625	34260.89453125	28938.77734375	23397.935546875
A0A024QZ86	T-box 2, isoform CRA_a	TBX2	62017.359375	42322.5625	0	45486.26953125	13051.96875	51187.0234375	35293.68359375	11536.7041015625	13853.7548828125	58223.71875	0	0	0	0	14016.44140625	0	0	9512.4306640625
A0A024QZ89	Component of oligomeric golgi complex 4, isoform CRA_d	COG4	17900.15625	10947.236328125	18681.953125	13216.2373046875	21322.861328125	13571.310546875	20328.75	14777.3671875	20753.025390625	14499.9384765625	11580.3876953125	15744.4873046875	22703.376953125	17464.73046875	16710.67578125	14990.98046875	12772.0517578125	12651.7509765625
A0A024QZA4	ST3 beta-galactoside alpha-2,3-sialyltransferase 2, isoform CRA_a	ST3GAL2	23224.583984375	17743.45703125	26770.408203125	16926.390625	19976.04296875	23917.52734375	21675.025390625	23329.376953125	21403.15625	15585.8916015625	21826.322265625	25982.6640625	17606.048828125	0	24422.240234375	12181.2119140625	7838.48388671875	25399.515625
A0A024QZA8	EPH receptor A2, isoform CRA_a	EPHA2	39165.36328125	36082.05859375	56533.71875	51441.0078125	48369.05078125	49986.2109375	47979.75390625	48252.18359375	54515.98828125	59171.37890625	51413.65625	55700.3984375	58455.87890625	49861.8125	68451.953125	70069.0703125	76219.8515625	67273.140625
A0A024QZA9	Protein-serine/threonine kinase	BCKDK	24302.125	23445.69140625	25581.666015625	21893.703125	22423.322265625	25960.994140625	23283.681640625	20986.818359375	23245.349609375	22038.794921875	21149.556640625	23587.884765625	23519.076171875	23694.58203125	24050.44921875	25232.4765625	25618.138671875	23199.09375
A0A024QZB1	HCG1998636, isoform CRA_a	hCG_1998636	24402.41796875	19407.580078125	26108.623046875	16138.955078125	13954.0234375	24276.93359375	28163.732421875	27524.48046875	21866.080078125	19108.65625	25070.89453125	34859.5625	19997.5390625	7767.3974609375	22000.4609375	4567.0419921875	13827.515625	25403.59765625
A0A024QZB5	Tantalus domain-containing protein	MGC3121	9531.9833984375	9371.1845703125	11790.470703125	14235.4453125	13434.6123046875	10749.4560546875	10405.693359375	11817.8779296875	16679.37109375	13098.474609375	17707.490234375	20919.330078125	12472.4052734375	12544.052734375	19117.3046875	0	0	8290.5234375
A0A024QZB8	Battenin	CLN3	16030.830078125	7444.71728515625	11591.296875	12011.6201171875	10221.05078125	16640.455078125	11241.220703125	10672.96875	19251.12109375	11721.125	13173.1953125	11941.8125	18856.8515625	58192.62890625	12054.9013671875	15453.6025390625	8539.53125	11351.42578125
A0A024QZC1	CD2 antigen (Cytoplasmic tail) binding protein 2, isoform CRA_a	CD2BP2	55311.578125	33657.9765625	48377.703125	56490.3203125	57269.77734375	59638.109375	62982.9921875	48200.59765625	43832.3671875	50519.03125	36456.9921875	34840.6953125	52890.34765625	83556.3359375	45207.09765625	35680.83984375	29068.638671875	29887.498046875
A0A024QZD1	Ribosomal protein L18, isoform CRA_c	RPL18	3097956.75	3077451.25	3400280.25	3200474	3267384.5	2939060.75	3208648	3224580.75	3389929	3916997.5	3656138.75	3927104	3329982.25	2965695.25	4413004.5	3545113.25	3241501.5	3418355
A0A024QZD5	Small nuclear ribonucleoprotein 70kDa polypeptide (RNP antigen), isoform CRA_b	SNRP70	271870.4375	210301.90625	205958.390625	298573.15625	219372.859375	254436.390625	295400.84375	271970.4375	233826.03125	248941.3125	254612.90625	221296.015625	218711.4375	237119.453125	214932.703125	172968.59375	141273.890625	154781.671875
A0A024QZE0	Tudor domain containing 3, isoform CRA_a	TDRD3	9057.3076171875	10103.9619140625	11727.9150390625	10448.9814453125	7984.06787109375	8156.3134765625	8430.81640625	10335.33984375	8832.859375	14102.01171875	5380.7236328125	11380.16015625	7165.04052734375	10904.8349609375	12842.66796875	0	2442.90087890625	17725.857421875
A0A024QZE1	Interferon regulatory factor 3, isoform CRA_a	IRF3	72278.734375	41275.51953125	95878.8984375	66092.6640625	65491.41796875	75611.90625	60785.1328125	71104	67424.1328125	37299.22265625	74331.1796875	54433.578125	38942.26171875	45852.3125	92202.90625	34108.34375	43633.84765625	46271.40625
A0A024QZE3	Carnitine palmitoyltransferase 1C, isoform CRA_b	CPT1C	9432.8134765625	10385.541015625	15386.322265625	11891.1767578125	14374.4912109375	4934.8076171875	12438.40234375	8640.638671875	18434.029296875	11911.03125	11781.609375	14948.8603515625	18128.984375	11464.240234375	21402.994140625	13077.4951171875	24594.388671875	17514.890625
A0A024QZE6	Chromosome 16 open reading frame 58, isoform CRA_a	C16orf58	43542.125	40307.53515625	53822.71875	43048.328125	46814.18359375	49103.59765625	32978.984375	38822.30859375	46542.10546875	48464.8359375	65496.41015625	65564.4296875	55456.9296875	51148.25390625	70951.0625	64111.03515625	75051.7890625	72576.40625
A0A024QZE7	Transforming growth factor beta 1 induced transcript 1, isoform CRA_a	TGFB1I1	55366.23046875	55426.109375	74706.8046875	72270.2109375	73426.234375	61375.69140625	70474.1171875	68954.703125	71023.53125	79914.0546875	100648.6484375	96725.2421875	94857.984375	101346.1953125	88364.84375	99969	85149.703125	102543.6796875
A0A024QZE9	Uncharacterized protein	FLJ20643	15036.328125	15886.701171875	20272.69921875	16302.4501953125	24027.087890625	15978.681640625	19361.3671875	16551.390625	24156.478515625	27542.5390625	20023.873046875	27718.236328125	20657.69140625	18244.79296875	25243.58203125	22513.580078125	22972.984375	16739.59765625
A0A024QZF1	HCG19665, isoform CRA_a	hCG_19665	49023.75	58960.1640625	56275.55859375	52329.6640625	51569.7421875	55978.0859375	48318.23046875	55219.58984375	46781.53515625	56696.16796875	47224.95703125	49598	44979.28125	57368.22265625	38932.0546875	45223.36328125	32369.67578125	34419.51171875
A0A024QZF2	Related RAS viral (R-ras) oncogene homolog, isoform CRA_a	RRAS	266241.0625	293301.09375	373593.0625	336412.53125	337030.9375	381589.5625	311366.4375	294933.0625	327382.03125	348484	458940.78125	358093.9375	403215.84375	342941.65625	570128.75	604135.8125	732462.9375	770898.25
A0A024QZF6	AKT1 substrate 1 (Proline-rich), isoform CRA_a	AKT1S1	18555.69921875	24348.568359375	26495.640625	32749.95703125	24724.578125	24041.525390625	34866.90625	37046.2734375	27936.994140625	26564.13671875	25092.74609375	29320.328125	24205.125	30006.158203125	27406.458984375	28008.453125	17957.185546875	21689.939453125
A0A024QZF8	Epithelial membrane protein 3	EMP3	60031.125	54039	73602.59375	58504.7734375	61512.546875	63079.3203125	51231.83984375	65322.3515625	72432.84375	64763.7578125	48545.125	65159.36328125	70121.2421875	64991.12109375	53825.8125	67722.0234375	77550.34375	74745.25
A0A024QZH5	Sphingosine kinase 2, isoform CRA_c	SPHK2	6894.9560546875	6317.30712890625	13239.47265625	251345.875	10128.46875	7381.283203125	7456.8671875	6855.6923828125	18835.84375	19438.41015625	19666.80078125	15334.263671875	10638.96875	10648.134765625	25152.76171875	12908.724609375	90702.640625	24020.626953125
A0A024QZH6	Serine arginine-rich pre-mRNA splicing factor SR-A1, isoform CRA_a	SR-A1	17485.06640625	16519.36328125	15034.7880859375	19715.24609375	18304.7265625	17530.52734375	13510.4169921875	19107.484375	19145.859375	16861.9375	12536.244140625	9207.142578125	10747.236328125	12399.8408203125	8222.041015625	13116.37109375	13480.2109375	10509.6982421875
A0A024QZI2	FCGRT	hCG_1998059	26901.341796875	27514.640625	31867.896484375	21699.787109375	21777.37890625	23382.94921875	17603.392578125	19867.453125	20464.572265625	20341.43359375	19624.798828125	18248.810546875	25774.611328125	28921.29296875	34099.7265625	32952.5703125	33988.92578125	35062.12890625
A0A024QZI4	Vaccinia related kinase 3, isoform CRA_a	VRK3	7915.0419921875	6644.00390625	7966.7451171875	9395.470703125	9339.7470703125	9939.4736328125	9000.421875	9188.2138671875	10116.5205078125	8690.501953125	7704.521484375	7192.23779296875	5753.62939453125	8245.0810546875	6102.22119140625	4389.4814453125	3896.47045898438	5137.705078125
A0A024QZI5	Nuclear receptor coactivator 4, isoform CRA_a	NCOA4	20924.435546875	11399.837890625	4231.416015625	21205.18359375	4309.9033203125	6697.89892578125	16985.3359375	17937.189453125	13893.416015625	8154.626953125	722.452758789063	5072.82666015625	3092.0361328125	55991.1484375	3584.50463867188	0	0	0
A0A024QZJ2	Ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast), isoform CRA_c	UBE2D1	0	0	43158.2890625	25971.150390625	31286.16015625	0	0	0	0	25474.66015625	38064.6875	0	28375.759765625	0	0	31813.400390625	0	0
A0A024QZJ7	Coiled-coil domain containing 6, isoform CRA_a	CCDC6	42871.60546875	47657.703125	66959.0859375	23950.2890625	31701.625	31595.921875	28397.8203125	32216.806640625	23315.255859375	24152.23828125	34655.26171875	31773.970703125	32118.384765625	29887.755859375	42066.73046875	60455.12109375	42293.796875	42944.55859375
A0A024QZK7	Hexokinase 1, isoform CRA_c	HK1	316868.40625	273170.96875	271129.96875	267767.6875	256120.9375	246403.09375	240239.375	241186.59375	258525.921875	197397.390625	134694.484375	94954.3515625	225844.59375	192127.875	223020.90625	222592.625	188151.453125	185457.078125
A0A024QZK8	Heterogeneous nuclear ribonucleoprotein H3 (2H9), isoform CRA_a	HNRPH3	704629.1875	650124	632632.5	657233.6875	639259.375	653575.375	623293.8125	575327	649991.625	537884.625	568594.9375	501788.40625	519246.125	456845.875	402448.71875	353602.5	263966.125	281813.75
A0A024QZM0	Activating signal cointegrator 1 complex subunit 1, isoform CRA_a	ASCC1	18340.533203125	19919.625	22766.623046875	13858.240234375	23479.294921875	19143.1171875	21546.515625	18054.556640625	20942.443359375	22486.53125	26340.169921875	23162.71484375	23176.2734375	19370.390625	24701.87890625	23395.490234375	24652.53125	25174.908203125
A0A024QZM6	SEC24 related gene family, member C (S. cerevisiae), isoform CRA_a	SEC24C	113769.15625	101595.5625	123820.75	105415.84375	109484.8515625	97534.546875	116616.890625	120638.5078125	116727.4296875	117304.2578125	140532.3125	130724.15625	127676.890625	126731.7265625	168498.984375	123980.5703125	142037.328125	138547.34375
A0A024QZM9	Plasminogen activator, urokinase, isoform CRA_a	PLAU	9830.4306640625	1849.54370117188	6768.890625	4134.0537109375	7059.55810546875	0	13150.5234375	6318.02001953125	8598.861328125	5084.2958984375	0	3930.72973632813	0	10616.986328125	16343.8515625	0	0	0
A0A024QZN2	HCG2024613, isoform CRA_a	hCG_2024613	76182.6796875	74765.7109375	71074.7890625	72308.9140625	78958.4140625	81535.3828125	81180.6875	73837.59375	70652.5078125	77023.8046875	43385.19140625	56083.890625	51254.984375	46287.87890625	50447.890625	30393.6875	23896.150390625	22339.119140625
A0A024QZN4	Vinculin, isoform CRA_c	VCL	274174.8125	317182.65625	327451.34375	319043.03125	285534.5	282775.875	301483.53125	306949.25	283715.1875	282350.40625	358361.84375	342490.53125	361385.375	304739.4375	452037.96875	470330.78125	537115.5	519301.09375
A0A024QZN7	Chromosome 10 open reading frame 70, isoform CRA_b	C10orf70	59078.4375	60090.3671875	45987.3515625	57866.75390625	61916.4375	55429.66796875	48769.16015625	36884.3125	43445.6953125	40148.85546875	49697.3984375	42492.7578125	75707.8203125	55681.7578125	45354.43359375	58593.15625	72489.6171875	81476.515625
A0A024QZN8	Hect domain and RLD 4, isoform CRA_b	HERC4	17544.404296875	15312.9326171875	21341.712890625	16107.75390625	18601.15625	17050.279296875	21764.427734375	21481.720703125	20180.40625	20403.44921875	22851.22265625	22317.38671875	18225.458984375	24269.46484375	27444.427734375	21876.775390625	29699.61328125	31212.21484375
A0A024QZN9	Voltage-dependent anion channel 2, isoform CRA_a	VDAC2	1492285.875	1599861.125	1740618.625	1710385	1796815.25	1771902.25	1536068.75	1635008	1686307.75	1741142.75	1967193.75	1890932	2137047	1767568	2464659.5	2461969.5	2426496	2118789
A0A024QZP0	Chromosome 10 open reading frame 56, isoform CRA_a	C10orf56	15197.0478515625	22838.794921875	22561.625	16933.53125	14498.435546875	15593.5966796875	17185.759765625	20399.23046875	20100.34765625	12505.8232421875	12431.1552734375	11302.32421875	13816.1064453125	14046.9033203125	19499.03515625	9814.0009765625	21674.69921875	17175.646484375
A0A024QZP6	Core histone macro-H2A	H2AFY2	240770.046875	231300.578125	224364.234375	215192.265625	213746.78125	280431.3125	196631.703125	196209.6875	191940.03125	214787.984375	240275.875	236316.015625	244818.890625	178596.9375	295981.53125	223161.515625	313072.3125	254209.765625
A0A024QZQ2	Prosaposin (Variant Gaucher disease and variant metachromatic leukodystrophy), isoform CRA_b	PSAP	489343.40625	649322.75	578024.6875	514624.1875	563486.625	588210.75	568390	580423.75	624700.3125	545219.5625	1087745.125	825797.1875	1030056.375	744237.6875	1062820.5	1106990.125	1758988.625	1225327.875
A0A024QZR3	Protein pelota homolog	hCG_2002731	60405.640625	57962.95703125	58261.671875	100266.2734375	73158.9375	66160.9453125	80668.796875	83875.15625	96650.7890625	73893.1484375	88565.4296875	69997.6953125	127476.25	58710.19140625	93541	105532.0859375	128827.796875	72893.6875
A0A024QZR5	Adaptor-related protein complex 3, mu 1 subunit, isoform CRA_a	AP3M1	91902.6953125	90058.3203125	115833.453125	72898.2734375	97546.609375	95060.4609375	91861.9609375	88418.6640625	79024.9921875	120432.0078125	143187.234375	143922.171875	120687.1875	86621.296875	144304.53125	140658.21875	132043.171875	151913.671875
A0A024QZR9	Uncharacterized protein	FLJ90709	19385.71484375	17457.19140625	28044.564453125	23173.103515625	26248.697265625	16953.76171875	18800.908203125	17791.84765625	27127.255859375	20835.8828125	31483.62109375	31127.935546875	27249.537109375	27238.06640625	53119.390625	60311.86328125	27386.216796875	25665.21875
A0A024QZS1	Molybdopterin synthase catalytic subunit	MOCS2	6138.7119140625	4288.3779296875	5058.14794921875	3383.29321289063	0	5522.8173828125	11340.3056640625	0	0	4652.57763671875	0	0	0	5908.919921875	7116.7021484375	6636.37109375	6196.0322265625	6921.71435546875
A0A024QZS3	Phosphatidic acid phosphatase type 2A, isoform CRA_a	PPAP2A	76753.9453125	66108.3984375	52167.10546875	46181.33203125	51724.953125	56891.359375	48398.33203125	46321.1640625	56148.09765625	49910.671875	76575.921875	64660.25	64669.42578125	62940.9609375	78979.890625	88567.078125	103169.234375	94444.0546875
A0A024QZS4	Peptidyl-prolyl cis-trans isomerase	PPIF	159285.65625	125478.9921875	130877.71875	143042.171875	132991.96875	184036.46875	164534.046875	185205.140625	177232.375	179698.609375	141561.453125	150848.34375	112561.1328125	83723.5	58988.125	162210.390625	121136.5234375	115663.90625
