ID	AveExpr	log2FC	Pvalue	FDR	Case	Control	des	substrates	direction	productions	subSystemes	genes
3SALATAi	-8.62129260720212	0.00255980043332826	0.971282775548907	0.992331289744284	-8.62 +/- 0.06	-8.62 +/- 0.1	3-Sulfino-Alanine Transaminase (Irreversible)	3sala[c] + akg[c] + h[c]	->	3snpyr[c] + glu_L[c]	Methionine and cysteine metabolism	GOT1
3SPYRSP	-8.62129260720212	0.00255980043332826	0.971282775548907	0.992331289744284	-8.62 +/- 0.06	-8.62 +/- 0.1	3-Sulfinopyruvate Hydrolase (Spotaneous Reaction)	3snpyr[c] + h2o[c]	->	h[c] + pyr[c] + so3[c]	Methionine and cysteine metabolism	
41R1H2MAE12BOOX	-16.4744260377443	0.54154375912622	0.621468221142672	0.944534048036362	-16.21 +/- 2.77	-16.76 +/- 2.76	4-[ (1R)-1-Hydroxy-2- (Methylamino)Ethyl]-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)	adrnl[c] + h2o[c] + o2[c]	->	34dhmald[c] + h2o2[c] + mma[c]	Tyrosine metabolism	MAOA;MAOB
42A12BOOX	-17.1095106647544	1.98647977009849	0.0142173007506856	0.926470532105121	-16.16 +/- 2.66	-18.14 +/- 0	4- (2-Aminoethyl)-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)	dopa[c] + h2o[c] + o2[c]	->	34dhpac[c] + h2o2[c] + nh4[c]	Tyrosine metabolism	AOC1;AOC2;AOC3;MAOA;MAOB
4HGLSDm	-3.53641719254722	-1.26194734767971	0.0295880292590945	0.926470532105121	-4.14 +/- 1.62	-2.88 +/- 1.08	L-4-Hydroxyglutamate Semialdehyde Dehydrogenase, Mitochondrial	4hglusa[m] + h2o[m] + nad[m]	->	2.0 h[m] + e4hglu[m] + nadh[m]	Arginine and proline metabolism	ALDH4A1
4HOXPACDOX_NADP_	-13.1347151179126	-0.307529808902039	0.281377176085124	0.926470532105121	-13.28 +/- 0.51	-12.97 +/- 0.86	4-Hydroxyphenylacetaldehyde:NADP+ Oxidoreductase	4hoxpacd[c] + h2o[c] + nadp[c]	<=>	2.0 h[c] + 4hphac[c] + nadph[c]	Tyrosine metabolism	ALDH1A3;ALDH3A1;ALDH3B1;ALDH3B2
5HLTDL	-13.8802342913449	1.44087546343052	0.119788387509163	0.926470532105121	-13.19 +/- 2.37	-14.63 +/- 2.19	5-Hydroxy-L-Tryptophan Decarboxy-Lyase	5htrp[c] + h[c]	->	co2[c] + srtn[c]	Tryptophan metabolism	DDC
5HOXINDACTO2OX	-16.4346368061627	-0.13167560961617	0.351166908233204	0.926470532105121	-16.5 +/- 0	-16.37 +/- 0.46	5-Hydroxyindoleacetaldehyde:Oxygen Oxidoreductase	5hoxindact[c] + h2o[c] + o2[c]	->	5hoxindoa[c] + h2o2[c] + h[c]	Tryptophan metabolism	AOX1
5HOXINOXDA	-13.1657984290243	0.901845930167692	0.100578200271598	0.926470532105121	-12.73 +/- 1.59	-13.63 +/- 1	5-Hydroxytryptamine:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)	h2o[c] + o2[c] + srtn[c]	->	5hoxindact[c] + h2o2[c] + nh4[c]	Tryptophan metabolism	MAOA;MAOB
5MTHFt	6.75969849701128	0.24713319741466	0.350650935163032	0.926470532105121	6.88 +/- 0.89	6.63 +/- 0.04	5-Methyltetrahydrofolate Transport via Receptor Binding And Protolysis	5mthf[e]	<=>	5mthf[c]	Transport, extracellular	FOLR1;FOLR3
5MTHFt2	8.07785079839399	0.306704588782398	0.565267791332745	0.932690333429439	8.23 +/- 1.48	7.92 +/- 1.17	5-Methyltetrahydrofolate Transport via Anion Exchange	5mthf[e] + h2o[c]	<=>	5mthf[c] + h2o[e]	Transport, extracellular	SLC19A1
7DHCHSTEROLtr	-16.2017209038248	-1.1388296884999	0.105100715899282	0.926470532105121	-16.75 +/- 1.62	-15.61 +/- 1.83	Cholesterol Precursor Intracellular Transport	7dhchsterol[r]	<=>	7dhchsterol[c]	Transport, endoplasmic reticular	
ABUTt4_2_r	7.89863102977475	1.19253172541522	0.0517754937411086	0.926470532105121	8.47 +/- 1.64	7.28 +/- 1.29	4-Aminobutyrate Reversible Transport in via Sodium Symport (1:2)	2.0 na1[e] + 4abut[e]	<=>	2.0 na1[c] + 4abut[c]	Transport, extracellular	SLC6A1;SLC6A11;SLC6A12;SLC6A13
ACACT10m	-11.6323051755934	-0.213214168283772	0.253217493442981	0.926470532105121	-11.73 +/- 0.38	-11.52 +/- 0.49	Acetyl Coenzyme A C-Acetyltransferase, Mitochondrial	2maacoa[m] + coa[m]	<=>	accoa[m] + ppcoa[m]	Valine, leucine, and isoleucine metabolism	ACAA2;ACAT1;HADHB
ACACt2m	-10.1808435927126	-0.121244561070887	0.752681232315032	0.977357022434057	-10.24 +/- 1.2	-10.12 +/- 0.6	Acetoacetate Mitochondrial Transport via H+ Symport	acac[c] + h[c]	<=>	acac[m] + h[m]	Transport, mitochondrial	SLC16A1
ACACT8p	-15.5096212339832	0.152719208394753	0.874650063007763	0.992331289744284	-15.44 +/- 2.18	-15.59 +/- 2.71	Acetyl Coenzyme A Acyltransferase (Hexadecanoyl Coenzyme A), Peroxisomal	3ohodcoa[x] + coa[x]	->	accoa[x] + pmtcoa[x]	Fatty acid oxidation	ACAA1
ACACT9p	-16.2230686415467	-0.179528459766903	0.212148110979457	0.926470532105121	-16.31 +/- 0.16	-16.13 +/- 0.43	Acetyl Coenzyme A Acyltransferase (Tetracosanoyl Coenzyme A), Peroxisomal	3ohxccoa[x] + coa[x]	->	accoa[x] + ttccoa[x]	Fatty acid oxidation	ACAA1
ACACtx	-9.77212769592214	0.520577515589379	0.371431469696575	0.932265305486178	-9.52 +/- 1.05	-10.04 +/- 1.8	Acetoacetate Intracellular Transport Unknown Mechanism	acac[c]	<=>	acac[x]	Transport, peroxisomal	
ACALDtm	-11.7937149024398	0.165243758013082	0.780588281853148	0.988824668297078	-11.71 +/- 1.48	-11.88 +/- 1.5	Acetaldehyde Mitochondrial Diffusion	acald[m]	<=>	acald[c]	Transport, mitochondrial	
ACCOACm	-9.52895111231343	0.268835761385413	0.380331332297522	0.932265305486178	-9.4 +/- 0.25	-9.67 +/- 1.06	Acetyl Coenzyme A Carboxylase, Beta Isoform	accoa[m] + atp[m] + hco3[m]	->	adp[m] + h[m] + malcoa[m] + pi[m]	Fatty acid oxidation	ACACB
ACCOALm	-9.59133852154395	0.119509162835181	0.810041345379099	0.992331289744284	-9.53 +/- 0.99	-9.65 +/- 1.48	Acetate Coenzyme A Ligase (AMP-Forming)	atp[m] + coa[m] + ppa[m]	->	amp[m] + ppcoa[m] + ppi[m]	Propanoate metabolism	ACSS1;ACSS3
ACCOAtn	8.23838139653291	-0.12776625251443	0.852084103645517	0.992331289744284	8.18 +/- 1.72	8.3 +/- 1.73	Acetyl Coenzyme A Transport, Nuclear	accoa[c]	<=>	accoa[n]	Transport, nuclear	
ACCOAtr	3.12081365797396	3.3418988358866	0.242768897434762	0.926470532105121	4.72 +/- 6.46	1.38 +/- 7.83	Acetyl Coenzyme A Transport	accoa[c]	<=>	accoa[r]	Transport, endoplasmic reticular	SLC33A1
ACETONEt2	-13.5589854559703	0.467395119252867	0.190053951391148	0.926470532105121	-13.33 +/- 1.21	-13.8 +/- 0	Acetone Transport via Proton Symport	acetone[e] + h[e]	<=>	acetone[c] + h[c]	Transport, extracellular	SLC16A1;SLC16A3;SLC16A7
ACETONEt2m	-13.5589854559703	0.467395119252867	0.190053951391148	0.926470532105121	-13.33 +/- 1.21	-13.8 +/- 0	Acetone Mitochondrial Transport via Proton Symport	acetone[c] + h[c]	<=>	acetone[m] + h[m]	Transport, mitochondrial	SLC16A1
ACGAM6PSi	-8.59147576775404	0.0437526948399505	0.928046962475831	0.992331289744284	-8.57 +/- 0.87	-8.61 +/- 1.51	N-Acetylglucosamine-6-Phosphate Synthase	accoa[c] + gam6p[c]	->	acgam6p[c] + coa[c] + h[c]	Aminosugar metabolism	GNPNAT1
ACGAMK	-16.4131463272658	0.0722328011129036	0.499998778263223	0.932690333429439	-16.38 +/- 0.21	-16.45 +/- 0.22	N-Acetylglucosamine Kinase	acgam[c] + atp[c]	->	acgam6p[c] + adp[c] + h[c]	Aminosugar metabolism	NAGK
ACGAMPM	-16.4131463272658	0.0722328011129036	0.499998778263223	0.932690333429439	-16.38 +/- 0.21	-16.45 +/- 0.22	Phosphoacetylglucosamine Mutase	acgam6p[c]	<=>	acgam1p[c]	Aminosugar metabolism	PGM3
ACHtn	8.23838139653291	-0.12776625251443	0.852084103645517	0.992331289744284	8.18 +/- 1.72	8.3 +/- 1.73	Acetylcholin Transport, Nuclear through Pores	ach[n]	<=>	ach[c]	Transport, nuclear	
ACITL	-13.7980687116946	-0.0439925869900684	0.660808929487539	0.958346290775562	-13.82 +/- 0.14	-13.78 +/- 0.24	ATP-Citrate Lyase	atp[c] + cit[c] + coa[c]	->	accoa[c] + adp[c] + oaa[c] + pi[c]	Citric acid cycle	ACLY
ACOAD10m	-13.8483352974388	0.0318831575377398	0.962559836702662	0.992331289744284	-13.83 +/- 1.56	-13.86 +/- 1.87	Acyl Coenzyme A Dehydrogenase (2-Methylbutanoyl Coenzyme A), Mitochondrial	2mbcoa[m] + fad[m]	->	2mb2coa[m] + fadh2[m]	Valine, leucine, and isoleucine metabolism	ACADM;ACADSB
ACOAD9m	-10.6256399623754	-0.23824001356996	0.723557248443724	0.972557428300583	-10.74 +/- 1.75	-10.5 +/- 1.64	Acyl Coenzyme A Dehydrogenase (Isobutyryl Coenzyme A), Mitochondrial	fad[m] + ibcoa[m]	->	2mp2coa[m] + fadh2[m]	Valine, leucine, and isoleucine metabolism	ACAD8;ACADM
ACOAO7p	-9.17229048599223	0.408403828823435	0.537021982882695	0.932690333429439	-8.98 +/- 1.51	-9.38 +/- 1.82	Acyl Coenzyme A Oxidase (Hexadecanoyl Coenzyme A), Peroxisomal	o2[x] + pmtcoa[x]	->	h2o2[x] + hdd2coa[x]	Fatty acid oxidation	ACOX1
ACONTm	-3.60979507464307	-0.129048414361025	0.831733459449289	0.992331289744284	-3.67 +/- 1.64	-3.54 +/- 1.4	Aconitate Hydratase	cit[m]	<=>	icit[m]	Citric acid cycle	ACO1;ACO2
ACRNtm	7.22066010930937	-0.431390648301137	0.349413223859382	0.926470532105121	7.01 +/- 0.98	7.44 +/- 1.31	O-Acetylcarnintine Transport into Mitochondria via Diffusion	acrn[c]	<=>	acrn[m]	Transport, mitochondrial	SLC25A20
ACS2	-8.91778619393923	0.16916190080395	0.110509626635543	0.926470532105121	-8.84 +/- 0.17	-9.01 +/- 0.24	Acetyl Coenzyme A Synthase (Propionate)	atp[c] + coa[c] + ppa[c]	->	amp[c] + ppcoa[c] + ppi[c]	Propanoate metabolism	AACS;ACSS2
ACSm	-9.86400159761205	-0.00553260730123384	0.992859730994888	0.996085202546556	-9.87 +/- 0.93	-9.86 +/- 2.03	Acetyl Coenzyme A Synthetase	ac[m] + atp[m] + coa[m]	->	accoa[m] + amp[m] + ppi[m]	Glycolysis/gluconeogenesis	ACSS1
ACt2m	-10.7510566102812	-0.941746711049143	0.234594288459405	0.926470532105121	-11.2 +/- 1.72	-10.26 +/- 2.22	Acetate Mitochondrial Transport via Proton Symport	ac[c] + h[c]	<=>	ac[m] + h[m]	Transport, mitochondrial	
ACt2r	8.92523472375319	-0.197836407007417	0.764156899228862	0.983691908482977	8.83 +/- 1.81	9.03 +/- 1.48	Acetate Reversible Transport via Proton Symport	ac[e] + h[e]	<=>	ac[c] + h[c]	Transport, extracellular	
ADCim	-13.5589854559703	0.467395119252867	0.190053951391148	0.926470532105121	-13.33 +/- 1.21	-13.8 +/- 0	Acetoacetate Decarboxylation (Irreversible), Mitochondrial	acac[m] + h[m]	->	acetone[m] + co2[m]	Propanoate metabolism	
ADK1m	-7.41368861565529	-0.0944644777739985	0.702864712763509	0.966704489063511	-7.46 +/- 0.39	-7.36 +/- 0.78	Adenylate Kinase, Mitochondrial	amp[m] + atp[m]	<=>	2.0 adp[m]	Nucleotide interconversion	AK2;AK4
ADK3	-2.26419992598492	0.425065531036349	0.272992287510098	0.926470532105121	-2.06 +/- 0.72	-2.49 +/- 1.16	Adentylate Kinase (GTP)	amp[c] + gtp[c]	<=>	adp[c] + gdp[c]	Nucleotide interconversion	AK5
ADKd	-16.8173550128929	1.11670569099412	0.256467743289673	0.926470532105121	-16.28 +/- 2.86	-17.4 +/- 1.92	Adenylate Kinase (D Form)	damp[c] + datp[c]	<=>	2.0 dadp[c]	Nucleotide interconversion	AK5
ADNCYC	-13.3402887962051	0.208108705997923	0.0552446095365081	0.926470532105121	-13.24 +/- 0.18	-13.45 +/- 0.24	Adenylate Cyclase	atp[c]	->	camp[c] + ppi[c]	Nucleotide interconversion	ADCY1;ADCY10;ADCY2;ADCY3;ADCY4;ADCY5;ADCY6;ADCY7;ADCY8;ADCY9
ADNK1m	-8.59406632737475	0.942455256761406	0.0421810054049696	0.926470532105121	-8.14 +/- 0.35	-9.08 +/- 1.57	Adenosine Kinase, Mitochondrial	adn[m] + atp[m]	->	adp[m] + amp[m] + h[m]	Nucleotide interconversion	
ADNt	7.6633937316299	0.235436952082384	0.724830906916357	0.972557428300583	7.78 +/- 1.73	7.54 +/- 1.64	Adenosine Faciliated Transport in Cytosol	adn[e]	<=>	adn[c]	Transport, extracellular	SLC29A1;SLC29A2
ADNt4	6.7767333274778	-0.27682734015859	0.30926147136221	0.926470532105121	6.64 +/- 0	6.92 +/- 0.96	Adenosine Transport (Na/Adn Symport)	adn[e] + na1[e]	->	adn[c] + na1[c]	Transport, extracellular	SLC28A1;SLC28A2;SLC28A3
ADNtl	-15.230617101458	-0.0177839814313057	0.9327972829086	0.992331289744284	-15.24 +/- 0.44	-15.22 +/- 0.58	Adenosine Faciliated Transport from Lysosome	adn[l]	<=>	adn[c]	Transport, lysosomal	SLC29A3
ADNtm	-12.5786860780972	-0.0814683887268508	0.658061319525633	0.957694109255888	-12.62 +/- 0.24	-12.54 +/- 0.58	Adenosine Faciliated Transport in Mitochondria	adn[c]	<=>	adn[m]	Transport, mitochondrial	SLC29A1
ADPRIBt	-9.06769953161655	0.119054040222197	0.415838598988109	0.932690333429439	-9.01 +/- 0.31	-9.13 +/- 0.35	ADPribose Transport	adprib[e]	->	adprib[c]	Transport, extracellular	CD38
ADPtx	-9.88612414169614	0.0997467021810188	0.433488917306104	0.932690333429439	-9.84 +/- 0.27	-9.94 +/- 0.29	ADP Transporter, Peroxisomal	adp[c]	<=>	adp[x]	Transport, peroxisomal	
ADRNt	8.36964811490242	0.131122072790401	0.841916903263401	0.992331289744284	8.43 +/- 1.72	8.3 +/- 1.58	Fatty Acid Transport via Diffusion	adrn[e]	<=>	adrn[c]	Transport, extracellular	
ADSK	-16.2751542683167	-0.347392854681861	0.141033989182529	0.926470532105121	-16.44 +/- 0.06	-16.09 +/- 0.81	Adenylyl-Sulfate Kinase	aps[c] + atp[c]	->	adp[c] + h[c] + paps[c]	Nucleotide interconversion	PAPSS1;PAPSS2
ADSL1	-12.2994763682966	0.174078281383316	0.254925329527199	0.926470532105121	-12.22 +/- 0.39	-12.39 +/- 0.29	Adenylosuccinate Lyase	dcamp[c]	->	amp[c] + fum[c]	Nucleotide interconversion	ADSL
ADSL2	-11.585524832789	0.0995274989568244	0.433594762377301	0.932690333429439	-11.54 +/- 0.27	-11.64 +/- 0.29	Adenylosuccinate Lyase	25aics[c]	->	aicar[c] + fum[c]	Purine synthesis	ADSL
AGPAT1	-9.0331863841509	0.502148131330031	0.0911922989086198	0.926470532105121	-8.79 +/- 0.51	-9.29 +/- 0.88	1-Acylglycerol-3-Phosphate O-Acyltransferase 1	2.0 h[c] + Rtotal2coa[c] + alpa_hs[c]	->	coa[c] + pa_hs[c]	Triacylglycerol synthesis	AGPAT1;AGPAT2;AGPAT3;AGPAT4;AGPAT5;GPAT4;MBOAT2
AGTim	-12.8262263401119	-0.118545635606027	0.691758805082888	0.965440995969551	-12.88 +/- 0.32	-12.76 +/- 1.02	Alanine-Glyoxylate Transaminase (Irreversible), Mitochondrial	ala_L[m] + glx[m]	->	gly[m] + pyr[m]	Alanine and aspartate metabolism	AGXT2;ETNPPL
AIRCr	-11.585524832789	0.0995274989568244	0.433594762377301	0.932690333429439	-11.54 +/- 0.27	-11.64 +/- 0.29	Phosphoribosylaminoimidazole Carboxylase	air[c] + co2[c]	<=>	5aizc[c] + h[c]	Purine synthesis	PAICS
AKGDm	-1.99774071976492	-0.032129853376625	0.63256994993832	0.950025731266435	-2.01 +/- 0.06	-1.98 +/- 0.04	2-Oxoglutarate Dehydrogenase	akg[m] + coa[m] + nad[m]	->	co2[m] + nadh[m] + succoa[m]	Citric acid cycle	DLD;DLST;OGDH;PDHX
AKGMALtm	-3.32563394337252	-0.447225898192517	0.485469950206437	0.932690333429439	-3.54 +/- 1.6	-3.09 +/- 1.62	Alpha-Ketoglutarate/Malate Transporter	akg[m] + mal_L[c]	<=>	akg[c] + mal_L[m]	Transport, mitochondrial	SLC25A10;SLC25A11
AKGt4_3	-15.51342329319	-0.863708222848972	0.169733800491623	0.926470532105121	-15.93 +/- 1.3	-15.06 +/- 1.79	Akg Transport via Sodium Symport	3.0 na1[e] + akg[e]	<=>	3.0 na1[c] + akg[c]	Transport, extracellular	SLC13A3
AKGtp	7.30222882708967	-0.83924856242816	0.118467502506143	0.926470532105121	6.9 +/- 0.92	7.74 +/- 1.65	Akg Transporter, Peroxisome	akg[c]	<=>	akg[x]	Transport, peroxisomal	
AKR1C41	-3.04298971290776	-1.50369230505401	0.56562333846032	0.932690333429439	-3.76 +/- 5.97	-2.26 +/- 7.24	Aldo-Keto Reductase Family 1, Member C4 (Chlordecone Reductase	h[c] + nadh[c] + xol7ah[c]	->	nad[c] + xol7ah2[c]	Bile acid synthesis	AKR1C4
AKR1C42	-1.39564935242387	-1.44812653543168	0.611288117817476	0.938917390265891	-2.09 +/- 6.73	-0.64 +/- 7.68	Aldo-Keto Reductase Family 1, Member C4 (Chlordecone Reductase	h[c] + nadh[c] + xoldioloneh[c]	->	nad[c] + xoltriol[c]	Bile acid synthesis	AKR1C4
ALACYSNaEx	-16.8099685444795	-0.0254472750332653	0.913839304578549	0.992331289744284	-16.82 +/- 0.46	-16.8 +/- 0.67	L-Alanine/L-Cysteine Na-Dependent Exchange (Ala-L In)	ala_L[e] + cys_L[c] + na1[e]	->	ala_L[c] + cys_L[e] + na1[c]	Transport, extracellular	SLC1A4;SLC1A5
ALADGLNexR	7.72268820557984	-0.273768806158342	0.680896951668769	0.965440995969551	7.59 +/- 1.83	7.87 +/- 1.49	L-Alanine/Glutamine Reversible Antiport	ala_D[e] + gln_L[c]	<=>	ala_D[c] + gln_L[e]	Transport, extracellular	SLC3A2;SLC7A10
ALADGLYexR	7.91501944941844	0.308935596198393	0.616681410202928	0.942103177270645	8.06 +/- 1.65	7.75 +/- 1.44	D-Alanine/Glycine Reversible Antiport	ala_D[e] + gly[c]	<=>	ala_D[c] + gly[e]	Transport, extracellular	SLC3A2;SLC7A10
ALAGLNexR	8.62408869260757	-0.315802118002413	0.67092910438937	0.963315802055516	8.47 +/- 2.09	8.79 +/- 1.6	L-Alanine/Glutamine Reversible Antiport	ala_L[e] + gln_L[c]	<=>	ala_L[c] + gln_L[e]	Transport, extracellular	SLC3A2;SLC7A10
ALAGLNNaEx	7.27460764282064	0.757624588984362	0.165223302074755	0.926470532105121	7.64 +/- 1.62	6.88 +/- 0.97	L-Alanine/L-Glutamine Na-Dependent Exchange (Ala-L In)	ala_L[e] + gln_L[c] + na1[e]	->	ala_L[c] + gln_L[e] + na1[c]	Transport, extracellular	SLC1A5
ALAGLYexR	8.4462743725824	-0.266147135830359	0.754010822313364	0.977357022434057	8.32 +/- 2.48	8.58 +/- 1.71	L-Alanine/Glycine Reversible Antiport	ala_L[e] + gly[c]	<=>	ala_L[c] + gly[e]	Transport, extracellular	SLC3A2;SLC7A10
ALASERNaEx	6.80487720921279	-0.627725086553513	0.268713578429437	0.926470532105121	6.5 +/- 1.06	7.13 +/- 1.72	L-Alanine/L-Serine Na-Dependent Exchange (Ala-L In)	ala_L[e] + na1[e] + ser_L[c]	->	ala_L[c] + na1[c] + ser_L[e]	Transport, extracellular	SLC1A4;SLC1A5
ALASm	-12.6918637096452	-0.138365401659032	0.280722667256527	0.926470532105121	-12.76 +/- 0.21	-12.62 +/- 0.34	5-Aminolevulinate Synthase	gly[m] + h[m] + succoa[m]	->	5aop[m] + co2[m] + coa[m]	Glycine, serine, alanine, and threonine metabolism	ALAS1;ALAS2;GCAT
ALAt4	-10.1597943968779	0.0919654593096588	0.532526108814909	0.932690333429439	-10.12 +/- 0.37	-10.21 +/- 0.29	Alanine-Sodium Symporter	ala_L[e] + na1[e]	->	ala_L[c] + na1[c]	Transport, extracellular	ACE2;SLC38A1;SLC38A2;SLC38A4;SLC6A14;SLC6A19;SLC7A1;SLC7A2;SLC7A3;TMEM27
ALATA_L	-4.85766404575966	0.097078773580388	0.439912787296077	0.932690333429439	-4.81 +/- 0.22	-4.91 +/- 0.32	L-Alanine Transaminase	akg[c] + ala_L[c]	<=>	glu_L[c] + pyr[c]	Glutamate metabolism	GPT;GPT2
